"Offense","Male","Female","Total","Percent"
"Aggravated Assault","23","1","24","2.86%"
"Burglary","76","4","80","9.54%"
"Possession/Drugs Intent","42","7","49","5.84%"
"Homicide","12","2","14","1.67%"
"Manslaughter","13","2","15","1.79%"
"Property","283","39","322","38.38%"
"Possession of Drugs","82","21","103","12.28%"
"Robbery","6","1","7","0.83%"
"Sell/Manufacture/Distribute Drugs","95","17","112","13.35%"
"Violent","27","3","30","3.58%"
"Sex Offense","83","0","83","9.89%"
"Total","742","97","839","100.00%"
