"Violation","Feb","Mar","Apr","May","Jun","Total","Percent"
"Federal Inmate","0","1","1","0","0","5","0.05%"
"New Prisoner","337","494","311","382","355","4,455","48.10%"
"Non-Adjudicated RID","15","8","22","16","13","133","1.44%"
"Probation Revoked","208","276","208","244","164","2,737","29.55%"
"Return - Abscond","0","0","0","3","5","8","0.09%"
"Return - Escape","0","0","0","0","0","3","0.03%"
"Return - ERS","47","44","44","36","28","510","5.51%"
"Return - House Arrest","16","27","28","38","28","372","4.02%"
"Return - Parole","77","88","82","72","108","1,032","11.14%"
"Warrant - Other Custody","1","0","0","0","0","6","0.06%"
"Total","701","938","696","791","701","9,261","100.00%"
