"County","Offenders","Percent"
"Adams","70","0.76%"
"Alcorn","135","1.46%"
"Amite","32","0.35%"
"Attala","64","0.69%"
"Benton","24","0.26%"
"Bolivar","61","0.66%"
"Calhoun","63","0.68%"
"Carroll","18","0.19%"
"Chickasaw","73","0.79%"
"Choctaw","15","0.16%"
"Claiborne","20","0.22%"
"Clarke","44","0.48%"
"Clay","95","1.03%"
"Coahoma","74","0.80%"
"Copiah","62","0.67%"
"Covington","34","0.37%"
"+ Desoto","446","4.82%"
"+ Forrest","339","3.66%"
"Franklin","25","0.27%"
"George","67","0.72%"
"Greene","19","0.21%"
"Grenada","57","0.62%"
"Hancock","139","1.50%"
"+ Harrison","943","10.18%"
"+ Hinds","380","4.10%"
"Holmes","23","0.25%"
"Humphreys","11","0.12%"
"Issaquena","5","0.05%"
"Itawamba","54","0.58%"
"+ Jackson","528","5.70%"
"Jasper","31","0.33%"
"Jeff Davis","26","0.28%"
"Jefferson","14","0.15%"
"Jones","167","1.80%"
"Kemper","15","0.16%"
"Lafayette","81","0.87%"
"+ Lowndes","271","2.93%"
"+ Madison","337","3.64%"
"Marion","98","1.06%"
"Marshall","113","1.22%"
"Monroe","104","1.12%"
"Montgomery","30","0.32%"
"Neshoba","93","1.00%"
"Newton","58","0.63%"
"Noxubee","11","0.12%"
"Oktibbeha","154","1.66%"
"Panola","140","1.51%"
"Pearl River","180","1.94%"
"Perry","45","0.49%"
"Pike","201","2.17%"
"Pontotoc","95","1.03%"
"Prentiss","108","1.17%"
"Quitman","25","0.27%"
"+ Rankin","496","5.36%"
"Scott","87","0.94%"
"Sharkey","12","0.13%"
"Simpson","48","0.52%"
"Smith","28","0.30%"
"Stone","54","0.58%"
"Sunflower","49","0.53%"
"Tallahatchie","47","0.51%"
"Tate","92","0.99%"
"Tippah","57","0.62%"
"Tishomingo","40","0.43%"
"Tunica","38","0.41%"
"Union","110","1.19%"
"Walthall","39","0.42%"
"Warren","159","1.72%"
"Washington","188","2.03%"
"Wayne","50","0.54%"
"Webster","27","0.29%"
"Wilkinson","3","0.03%"
"Lamar","154","1.66%"
"+ Lauderdale","319","3.44%"
"Lawrence","41","0.44%"
"Leake","80","0.86%"
"+ Lee","337","3.64%"
"Leflore","97","1.05%"
"Lincoln","149","1.61%"
"Winston","61","0.66%"
"Yalobusha","20","0.22%"
"Yazoo","38","0.41%"
"Unknown","24","0.26%"
"TOTAL","9,261","100.00%"
