"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Aggravated Assault","63","30","0","0","93","4.0%"
"Burglary","64","141","0","0","205","8.8%"
"Homicide","51","45","0","1","97","4.1%"
"Manslaughter","77","41","1","0","119","5.1%"
"Property","365","408","5","2","780","33.3%"
"Possession of Drugs","109","310","2","0","421","18.0%"
"Robbery","74","37","0","0","111","4.7%"
"Sale of Drugs","140","189","0","1","330","14.1%"
"Sex Offense","13","40","0","1","54","2.3%"
"Violent","51","78","2","1","132","5.6%"
"TOTAL","1,007","1,319","10","6","2,342","100%"
