"OFFENSE","Male","Female","Total","Percent"
"Aggravated Assault","317","32","317","3.34%"
"Burglary","1,604","94","1,604","16.89%"
"Homicide","30","3","30","0.32%"
"Manslaughter","139","9","139","1.46%"
"Property","2,072","454","2,072","21.82%"
"Possession of Drugs","1,281","198","1,281","13.49%"
"Possession of Drugs with Intent","627","91","627","6.60%"
"Robbery","443","29","443","4.67%"
"Sale of Drugs","1,239","180","1,239","13.05%"
"Sex Offense","356","8","356","3.75%"
"Violent","251","39","251","2.64%"
