"OFFENSES","MALES","FEMALES","TOTAL","PERCENT"
"Capital Rape","3","0","3","0.8%"
"Child Molestation","13","0","13","3.6%"
"Entice Child for Indecent 
Purpose","1","0","1","0.3%"
"Exploitation of Child","11","0","11","3.0%"
"Fail to Register as 
Sex Offender","46","0","46","12.6%"
"Fondling","23","2","25","6.9%"
"Fondling a Child","8","1","9","2.5%"
"Forcible Sexual Intercourse","1","0","1","0.3%"
"Gratification of Lust","11","1","12","3.3%"
"Incest","1","0","1","0.3%"
"Kidnap Minor","0","1","1","0.3%"
"Rape","40","0","40","11.0%"
"Sex Assault","4","0","4","1.1%"
"Sex Offense","2","0","2","0.5%"
"Sexual Abuse - Vulnerable Adult","1","0","1","0.3%"
"Sexual Battery","87","3","90","24.7%"
"Statutory Rape","70","0","70","19.2%"
"Unlawful Touching of Child","31","0","31","8.5%"
"Video Voyeurism","3","0","3","0.8%"
"TOTAL","356","8","364","100.0%"
