"OFFENSE","Male","Female","Total","Total"
"Capital Rape","3","0","3","0.8%"
"Child Molestation","13","0","13","3.6%"
"Entice Child for Indecent Pur-
pose","1","0","1","0.3%"
"Exploitation of Child","11","1","12","3.3%"
"Failure to Register as Sex Of-
fender","47","0","47","12.9%"
"Fondling","23","1","24","6.6%"
"Fondling a Child","8","1","9","2.5%"
"Forcible Sexual Intercourse","1","0","1","0.3%"
"Gratification of Lust","12","1","13","3.6%"
"Incest","1","0","1","0.3%"
"Kidnapping of A Minor","1","1","2","0.5%"
"Rape","40","0","40","11.0%"
"Sex Assault","4","0","4","1.1%"
"Sex Offense","2","0","2","0.5%"
"Sexual Battery","88","3","91","25.0%"
"Statutory Rape","70","0","70","19.2%"
"Unlawful Touching of Child","31","0","31","8.5%"
