"County","Offenders","Percent"
"Adams","9","0.75%"
"Alcorn","17","1.41%"
"Amite","3","0.25%"
"Attala","5","0.41%"
"Benton","2","0.17%"
"Bolivar","8","0.66%"
"Calhoun","11","0.91%"
"Carroll","3","0.25%"
"Chickasaw","11","0.91%"
"Choctaw","3","0.25%"
"Claiborne","5","0.41%"
"Clarke","7","0.58%"
"Clay","13","1.08%"
"Coahoma","15","1.24%"
"Copiah","10","0.83%"
"Covington","7","0.58%"
"Desoto","57","4.72%"
"Forrest","39","3.23%"
"Franklin","2","0.17%"
"George","10","0.83%"
"Greene","3","0.25%"
"Grenada","15","1.24%"
"Hancock","18","1.49%"
"Harrison","138","11.43%"
"Hinds","43","3.56%"
"Holmes","0","0.00%"
"Humphreys","3","0.25%"
"Issaquena","1","0.08%"
"Itawamba","5","0.41%"
"Jackson","63","5.22%"
"Jasper","5","0.41%"
"Jeff Davis","2","0.17%"
"Lincoln","11","0.91%"
"Lowndes","39","3.23%"
"Madison","36","2.98%"
"Marion","17","1.41%"
"Marshall","15","1.24%"
"Monroe","18","1.49%"
"Montgomery","2","0.17%"
"Neshoba","14","1.16%"
"Newton","10","0.83%"
"Noxubee","3","0.25%"
"Oktibbeha","13","1.08%"
"Panola","14","1.16%"
"Pearl River","14","1.16%"
"Perry","7","0.58%"
"Pike","25","2.07%"
"Pontotoc","21","1.74%"
"Prentiss","23","1.91%"
"Quitman","1","0.08%"
"Rankin","69","5.72%"
"Scott","13","1.08%"
"Sharkey","1","0.08%"
"Simpson","2","0.17%"
"Smith","8","0.66%"
"Stone","4","0.33%"
"Sunflower","7","0.58%"
"Tallahatchie","5","0.41%"
"Tate","12","0.99%"
"Tippah","8","0.66%"
"Tishomingo","4","0.33%"
"Tunica","6","0.50%"
"Union","6","0.50%"
"Walthall","8","0.66%"
"Jefferson","2","0.17%"
"Jones","26","2.15%"
"Kemper","1","0.08%"
"Lafayette","8","0.66%"
"Lamar","17","1.41%"
"Lauderdale","38","3.15%"
"Lawrence","4","0.33%"
"Leake","7","0.58%"
"Lee","42","3.48%"
"Leflore","10","0.83%"
"Warren","21","1.74%"
"Washington","22","1.82%"
"Wayne","9","0.75%"
"Webster","3","0.25%"
"Wilkinson","0","0.00%"
"Winston","9","0.75%"
"Yalobusha","3","0.25%"
"Yazoo","7","0.58%"
"Out-Of-State","1","0.08%"
"Unknown","8","0.66%"
"TOTAL","1,207","100.00%"
