"County","Offenders","Percent"
"Adams","0","0.00%"
"Alcorn","2","0.63%"
"Amite","0","0.00%"
"Attala","1","0.31%"
"Benton","3","0.94%"
"Bolivar","2","0.63%"
"Calhoun","5","1.57%"
"Carroll","2","0.63%"
"Chickasaw","2","0.63%"
"Choctaw","1","0.31%"
"Claiborne","2","0.63%"
"Clarke","2","0.63%"
"Clay","0","0.00%"
"Coahoma","4","1.26%"
"Copiah","4","1.26%"
"Covington","0","0.00%"
"Desoto","9","2.83%"
"+ Forrest","14","4.40%"
"Franklin","0","0.00%"
"George","4","1.26%"
"Greene","1","0.31%"
"Grenada","7","2.20%"
"Hancock","2","0.63%"
"+ Harrison","29","9.12%"
"+ Hinds","18","5.66%"
"Holmes","1","0.31%"
"Humphreys","1","0.31%"
"Issaquena","0","0.00%"
"Itawamba","3","0.94%"
"+ Jackson","18","5.66%"
"Jasper","2","0.63%"
"Jeff Davis","0","0.00%"
"Jefferson","1","0.31%"
"Lincoln","5","1.57%"
"+ Lowndes","12","3.77%"
"+ Madison","12","3.77%"
"Marion","3","0.94%"
"Marshall","4","1.26%"
"Monroe","1","0.31%"
"Montgomery","0","0.00%"
"Neshoba","2","0.63%"
"Newton","1","0.31%"
"Noxubee","2","0.63%"
"+ Oktibbeha","10","3.14%"
"Panola","5","1.57%"
"Pearl River","0","0.00%"
"Perry","1","0.31%"
"Pike","4","1.26%"
"Pontotoc","6","1.89%"
"Prentiss","8","2.52%"
"Quitman","1","0.31%"
"+ Rankin","16","5.03%"
"Scott","1","0.31%"
"Sharkey","0","0.00%"
"Simpson","2","0.63%"
"Smith","5","1.57%"
"Stone","4","1.26%"
"Sunflower","5","1.57%"
"Tallahatchie","4","1.26%"
"Tate","1","0.31%"
"Tippah","2","0.63%"
"Tishomingo","1","0.31%"
"Tunica","1","0.31%"
"Union","2","0.63%"
"Walthall","0","0.00%"
"Warren","3","0.94%"
"+ Jones","10","3.14%"
"Kemper","1","0.31%"
"Lafayette","0","0.00%"
"Lamar","5","1.57%"
"+ Lauderdale","10","3.14%"
"Lawrence","1","0.31%"
"Leake","0","0.00%"
"Lee","9","2.83%"
"Leflore","3","0.94%"
"Washington","3","0.94%"
"Wayne","3","0.94%"
"Webster","0","0.00%"
"Wilkinson","0","0.00%"
"Winston","1","0.31%"
"Yalobusha","0","0.00%"
"Yazoo","5","1.57%"
"Unknown","3","0.94%"
"TOTAL","318","100.00%"
