"County","Offenders","Percent"
"Adams","98","0.88%"
"Alcorn","159","1.43%"
"Amite","31","0.28%"
"Attala","75","0.67%"
"Benton","27","0.24%"
"Bolivar","83","0.75%"
"Calhoun","94","0.85%"
"Carroll","22","0.20%"
"Chickasaw","81","0.73%"
"Choctaw","23","0.21%"
"Claiborne","33","0.30%"
"Clarke","59","0.53%"
"Clay","116","1.04%"
"Coahoma","101","0.91%"
"Copiah","77","0.69%"
"Covington","39","0.35%"
"+ Desoto","534","4.80%"
"+ Forrest","467","4.20%"
"Franklin","17","0.15%"
"George","85","0.76%"
"Greene","30","0.27%"
"Grenada","83","0.75%"
"Hancock","155","1.39%"
"+ Harrison","1,014","9.12%"
"+ Hinds","530","4.77%"
"Holmes","39","0.35%"
"Humphreys","24","0.22%"
"Issaquena","3","0.03%"
"Itawamba","93","0.84%"
"+ Jackson","535","4.81%"
"Jasper","36","0.32%"
"Jeff Davis","19","0.17%"
"Jefferson","17","0.15%"
"Jones","214","1.93%"
"Lincoln","160","1.44%"
"+ Lowndes","381","3.43%"
"+ Madison","353","3.18%"
"Marion","141","1.27%"
"Marshall","187","1.68%"
"Monroe","126","1.13%"
"Montgomery","25","0.22%"
"Neshoba","127","1.14%"
"Newton","64","0.58%"
"Noxubee","21","0.19%"
"Oktibbeha","199","1.79%"
"Panola","168","1.51%"
"Pearl River","177","1.59%"
"Perry","69","0.62%"
"Pike","243","2.19%"
"Pontotoc","152","1.37%"
"Prentiss","115","1.03%"
"Quitman","13","0.12%"
"+ Rankin","551","4.96%"
"Scott","84","0.76%"
"Sharkey","14","0.13%"
"Simpson","62","0.56%"
"Smith","41","0.37%"
"Stone","78","0.70%"
"Sunflower","96","0.86%"
"Tallahatchie","55","0.49%"
"Tate","87","0.78%"
"Tippah","48","0.43%"
"Tishomingo","44","0.40%"
"Tunica","61","0.55%"
"Union","134","1.21%"
"Walthall","55","0.49%"
"Warren","198","1.78%"
"Washington","181","1.63%"
"Kemper","21","0.19%"
"Lafayette","119","1.07%"
"Lamar","163","1.47%"
"+ Lauderdale","335","3.01%"
"Lawrence","41","0.37%"
"Leake","68","0.61%"
"+ Lee","456","4.10%"
"Leflore","91","0.82%"
"Wayne","74","0.67%"
"Webster","20","0.18%"
"Wilkinson","15","0.13%"
"Winston","60","0.54%"
"Yalobusha","37","0.33%"
"Yazoo","62","0.56%"
"Out-of-State","1","0.01%"
"Unknown","30","0.27%"
"TOTAL","11,116","100.00%"
