"County","Offenders","Percent"
"Adams","41","0.98%"
"Alcorn","75","1.80%"
"Amite","6","0.14%"
"Attala","19","0.46%"
"Benton","8","0.19%"
"Bolivar","13","0.31%"
"Calhoun","41","0.98%"
"Carroll","6","0.14%"
"Chickasaw","48","1.15%"
"Choctaw","5","0.12%"
"Claiborne","2","0.05%"
"Clarke","17","0.41%"
"Clay","59","1.41%"
"Coahoma","25","0.60%"
"Copiah","17","0.41%"
"Covington","8","0.19%"
"+ Desoto","192","4.60%"
"+ Forrest","155","3.72%"
"Franklin","2","0.05%"
"George","50","1.20%"
"Greene","16","0.38%"
"Grenada","35","0.84%"
"Hancock","81","1.94%"
"+ Harrison","469","11.24%"
"+ Hinds","142","3.40%"
"Holmes","6","0.14%"
"Humphreys","5","0.12%"
"Issaquena","0","0.00%"
"Itawamba","53","1.27%"
"+ Jackson","212","5.08%"
"Jasper","18","0.43%"
"Jeff Davis","7","0.17%"
"Jefferson","4","0.10%"
"Jones","49","1.17%"
"Kemper","6","0.14%"
"Lafayette","43","1.03%"
"Lincoln","72","1.73%"
"+ Lowndes","159","3.81%"
"+ Madison","109","2.61%"
"Marion","46","1.10%"
"Marshall","77","1.85%"
"Monroe","56","1.34%"
"Montgomery","12","0.29%"
"Neshoba","34","0.82%"
"Newton","19","0.46%"
"Noxubee","6","0.14%"
"Oktibbeha","78","1.87%"
"Panola","64","1.53%"
"Pearl River","80","1.92%"
"Perry","30","0.72%"
"Pike","87","2.09%"
"Pontotoc","64","1.53%"
"Prentiss","55","1.32%"
"Quitman","5","0.12%"
"+ Rankin","208","4.99%"
"Scott","38","0.91%"
"Sharkey","3","0.07%"
"Simpson","20","0.48%"
"Smith","19","0.46%"
"Stone","45","1.08%"
"Sunflower","21","0.50%"
"Tallahatchie","19","0.46%"
"Tate","25","0.60%"
"Tippah","19","0.46%"
"Tishomingo","15","0.36%"
"Tunica","17","0.41%"
"Union","60","1.44%"
"Walthall","27","0.65%"
"Warren","65","1.56%"
"Washington","48","1.15%"
"Wayne","36","0.86%"
"Webster","9","0.22%"
"Lamar","53","1.27%"
"+ Lauderdale","104","2.49%"
"Lawrence","13","0.31%"
"Leake","29","0.70%"
"+ Lee","202","4.84%"
"Leflore","30","0.72%"
"Wilkinson","0","0.00%"
"Winston","23","0.55%"
"Yalobusha","10","0.24%"
"Yazoo","15","0.36%"
"Unknown","10","0.24%"
"Total","4,171","100.00%"
