"Offense","Black","White","Hispanic","Other","Total"
"Aggravated Assault","4","2","0","0","6"
"Burglary","2","6","0","0","8"
"Possession/Drugs with Intent","1","6","0","0","7"
"Possession of Drugs","7","11","0","0","18"
"Sell/Manufacture/Distribute Drugs","10","10","0","0","20"
"Homicide","0","0","0","0","0"
"Manslaughter","0","1","0","0","1"
"Property","21","35","0","0","56"
"Robbery","0","1","0","0","1"
"Sex Offense","0","0","0","0","0"
"Violent","0","4","0","0","4"
"Total","45","76","0","0","121"
