"Offense","Male","Female","Total","Percent"
"Capital Rape","3","0","3","0.94%"
"Child Molestation","9","0","9","2.83%"
"Child Pornography","2","0","2","0.63%"
"Entice Child for Indecent Purpose","3","0","3","0.94%"
"Exploitation of Child","15","2","17","5.35%"
"Fail to Register as Sex Offender","51","0","51","16.04%"
"Fondling","11","0","11","3.46%"
"Fondling a Child","6","0","6","1.89%"
"Gratification of Lust","13","0","13","4.09%"
"Kidnap Minor","2","1","3","0.94%"
"Rape","14","0","14","4.40%"
"Sex Assault","4","0","4","1.26%"
"Sex Offense","1","0","1","0.31%"
"Sexual Battery","94","0","94","29.56%"
"Statutory Rape","51","1","52","16.35%"
"Unlawful Touching of a Child","33","1","34","10.69%"
"Video Voyeurism","1","0","1","0.31%"
"Total","313","5","318","100.00%"
