"Offense","Male","Female","Total","Percent"
"Aggravated Assault","39","6","45","3.73%"
"Burglary","131","8","139","11.52%"
"Possession/Drugs with Intent","59","7","66","5.47%"
"Possession of Drugs","151","18","169","14.00%"
"Sell/Manufacture/Distribute Drugs","153","20","173","14.33%"
"Homicide","15","0","15","1.24%"
"Manslaughter","23","1","24","1.99%"
"Property","368","56","424","35.13%"
"Robbery","33","1","34","2.82%"
"Sex Offense","86","0","86","7.13%"
"Violent","28","4","32","2.65%"
"Total","1,086","121","1,207","100.00%"
