"Offense","Black","White","Hispanic","Other","Total"
"Capital Rape","3","0","0","0","3"
"Child Molestation","1","8","0","0","9"
"Child Pornography","1","1","0","0","2"
"Entice Child for Indecent Purpose","2","1","0","0","3"
"Exploitation of Child","3","12","0","0","15"
"Fail to Register as Sex Offender","31","20","0","0","51"
"Fondling","9","2","0","0","11"
"Fondling a Child","2","4","0","0","6"
"Gratification of Lust","4","8","1","0","13"
"Kidnap Minor","0","1","1","0","2"
"Rape","12","2","0","0","14"
"Sex Assault","0","4","0","0","4"
"Sex Offense","0","1","0","0","1"
"Sexual Battery","49","42","3","0","94"
"Statutory Rape","37","14","0","0","51"
"Unlawful Touching of a Child","7","24","2","0","33"
"Video Voyeurism","0","1","0","0","1"
"Total","161","145","7","0","313"
