legislator,pic,chamber,party,district,counties,#msleg experience,chair_of,vice_chair_of:,cmtes,bill(s)_authored,gov_email,capitol_phone,pic_url,bio
Shane Aguirre,Aguirre.jpg (https://dl.airtable.com/9AjZ1RxLRk6fyJ4aTYzf_Aguirre.jpg),house,R,17,Lee,House 2016-present,,House Banking & Financial Services,House Jud. A,HB1233,,(601) 359-3374,http://billstatus.ls.state.ms.us/members/house/Aguirre.jpg,
Jeramey D. Anderson,anderson.jpg (https://dl.airtable.com/GyBsDW8ITSivcQOPobkF_anderson.jpg),house,D,110,Jackson,House 2014-present,,,"House Jud. B,House Tech. Comm.","HB1388,HB1280,HB1316",JAnderson@house.ms.gov,(601) 359-2438,http://billstatus.ls.state.ms.us/members/house/Anderson.jpg,http://billstatus.ls.state.ms.us/members/house/Anderson.xml
William Tracy Arnold,arnold.jpg (https://dl.airtable.com/PupXy37rRyCrF4tFjiot_arnold.jpg),house,R,3,"Alcorn,Prentiss",House 2012-present,House State Library,,"House AET,House Drug Policy,House Jud. B","HB0282,HB1448",WArnold@house.ms.gov,(601) 359-9390,http://billstatus.ls.state.ms.us/members/house/Arnold.jpg,http://billstatus.ls.state.ms.us/members/house/Arnold.xml
Willie Bailey,bailey.jpg (https://dl.airtable.com/X0LS33z1Qlm5Ijk2Lihm_bailey.jpg),house,D,49,Washington,House 1995-present,,House Jud. B,House Jud. B,,WBailey@house.ms.gov,(601) 359-3363,http://billstatus.ls.state.ms.us/members/house/Bailey.jpg,http://billstatus.ls.state.ms.us/members/house/Bailey.xml
Nick Bain,bain.jpg (https://dl.airtable.com/GAq35jHzQi6SdyCkv6jk_bain.jpg),house,D,2,Alcorn,House 2012-present,,,House Jud. B,"HB0419,HB1467,HB1457,HB1087,HB0922",NBain@house.ms.gov,(601) 359-3338,http://billstatus.ls.state.ms.us/members/house/Bain.jpg,http://billstatus.ls.state.ms.us/members/house/Bain.xml
Mark Baker,Baker.jpg (https://dl.airtable.com/vaKyRBY0Seq9N3P2xoPa_Baker.jpg),house,R,74,Rankin,House 2004-present,House Jud. A,,"House Jud. A,House Appropriations","HB0711,HB0183,HB1239,HB1241,HB1264,HB1307",,(601) 359-3388,http://billstatus.ls.state.ms.us/members/house/Baker.jpg,
Earle S. Banks,banks.jpg (https://dl.airtable.com/o6yojUsSxG12eRMzBNcg_banks.jpg),house,D,67,Hinds,House 1993-present,,,House Jud. A,"HB1401,HB0613,HB0614,HB0625,HB0605,HB0607,HB0637,HB0638,HB0640,HB0641,HB0642,HB0643,HB0644,HB0645,HB0646,HB0650,HB0653,HB0664,HB0670,HB0675,HB0677",ebankslaw@aol.com,(601) 359-3399,http://billstatus.ls.state.ms.us/members/house/Banks.jpg,
David Baria,baria.jpg (https://dl.airtable.com/1xCenLQOyc1wjLnSjV7Q_baria.jpg),house,D,122,Hancock,"House 2012-present,Sen. 2008-2011",,,House Jud. B,HB0933,DBaria@house.ms.gov,(601) 359-3455,http://billstatus.ls.state.ms.us/members/house/Baria.jpg,http://billstatus.ls.state.ms.us/members/house/Baria.xml
Shane Barnett,barnett.jpg (https://dl.airtable.com/nk3QOCqfRiQcFxuqk2we_barnett.jpg),house,R,86,"Greene,Perry,Wayne",House 2016-present,,"""House Wildlife, Fisheries and Parks""",House Jud. B,HB0413,SBarnett@house.ms.gov,(601) 359-2426,http://billstatus.ls.state.ms.us/members/house/Barnett.jpg,http://billstatus.ls.state.ms.us/members/house/Barnett.xml
Manly Barton,Barton.jpg (https://dl.airtable.com/lsZVCYqTVeIbTBMvyx1Q_Barton.jpg),house,R,109,"George,Jackson",House 2012-present,House Local & Private,,,,,(601) 359-3014,http://billstatus.ls.state.ms.us/members/house/Barton.jpg,
Charles Jim Beckett,beckett.jpg (https://dl.airtable.com/Z8GiNKNPSJ61TsrS9T9u_beckett.jpg),house,R,23,"Calhoun,Grenada,Lafayette,Webster",House 2004-present,House Public Utilities,,House Jud. A,HB1442,,(601) 359-3335,http://billstatus.ls.state.ms.us/members/house/Beckett.jpg,
Donnie Bell,bell_(21st).jpg (https://dl.airtable.com/f0gynBUCSdO5ctMuj7oD_bell_(21st).jpg),house,R,21,"Itawamba,Tishomingo",House 2008-present,,,,HB0524,,,http://billstatus.ls.state.ms.us/members/house/Bell_(21st).jpg,
Christopher M. Bell,bell_(65th).jpg (https://dl.airtable.com/dj1NlUwISsaMPPWmzzCa_bell_(65th).jpg),house,D,65,Hinds,House 2016-present,,House Executive Contingent Fund,House Drug Policy,"HB1390,HB0756,HB1401,HB0655,HB0137,HB1464",,(601) 359-2461,http://billstatus.ls.state.ms.us/members/house/bell_(65th).jpg,
