"County","Offenders","Percent"
"CHICKASAW","1","12.50%"
"DESOTO","1","12.50%"
"LAUDERDALE","1","12.50%"
"MADISON","1","12.50%"
"MARSHALL","1","12.50%"
"TIPPAH","1","12.50%"
"UNAVAILABLE","1","12.50%"
"WARREN","1","12.50%"
"TOTAL","8","100.00%"
