"Age","Male","Female","Total","Percent"
"50-55","604","64","668","62.14%"
"56-60","226","22","248","23.07%"
"61-65","90","7","97","9.02%"
"66-70","38","3","41","3.81%"
"71-75","11","2","13","1.21%"
"76-80","8","0","8","0.74%"
"Over 80","0","0","0","0.00%"
"Total","977","98","1,075","100.00%"
