"Offense","Black","White","Hispanic","Other","Total"
"Capital Rape","0","0","0","0","0"
"Child Molestation","0","0","0","0","0"
"Child Pornography","0","0","0","0","0"
"Entice Child For Indecent Purposes","0","0","0","0","0"
"Exploitation/Child","0","1","0","0","1"
"Fondling","0","0","0","0","0"
"Fondling A Child","0","0","0","0","0"
"Gratification/Lust","0","1","0","0","1"
"Kidnap Minor","0","0","0","0","0"
"Rape","0","0","0","0","0"
"Sex Assault","0","0","0","0","0"
"Sexual Battery","1","2","0","0","3"
"Statutory Rape","0","1","0","0","1"
"Unlawful Touching/Child","1","0","0","0","1"
"Video Voyeurism","0","0","0","0","0"
"Total","2","5","0","0","7"
