"Offense","Male","Female","Total","Percent"
"Capital Rape","3","0","3","1.03%"
"Child Molestation","10","0","10","3.44%"
"Child Pornography","2","0","2","0.69%"
"Entice Child For Indecent Pur-
poses","2","0","2","0.69%"
"Exploitation/Child","14","1","15","5.15%"
"Fondling","23","0","23","7.90%"
"Fondling A Child","7","0","7","2.41%"
"Gratification/Lust","12","1","13","4.47%"
"Kidnap Minor","1","0","1","0.34%"
"Rape","20","0","20","6.87%"
"Sex Assault","3","0","3","1.03%"
"Sexual Battery","83","3","86","29.55%"
"Statutory Rape","70","1","71","24.40%"
"Unlawful Touching/Child","32","1","33","11.34%"
"Video Voyeurism","2","0","2","0.69%"
"Total","284","7","291","100.00%"
