"County","Offenders","Percent"
"Adams","81","0.87%"
"Alcorn","121","1.30%"
"Amite","35","0.38%"
"Attala","64","0.69%"
"Benton","19","0.20%"
"Bolivar","79","0.85%"
"Calhoun","60","0.64%"
"Carroll","24","0.26%"
"Chickasaw","68","0.73%"
"Choctaw","8","0.09%"
"Claiborn","16","0.17%"
"Clarke","42","0.45%"
"Clay","79","0.85%"
"Coahoma","75","0.80%"
"Copiah","64","0.69%"
"Covington","33","0.35%"
"+ Desoto","455","4.88%"
"+ Forrest","376","4.03%"
"Franklin","23","0.25%"
"George","53","0.57%"
"Greene","24","0.26%"
"Grenada","60","0.64%"
"Hancock","137","1.47%"
"+ Harrison","938","10.05%"
"+ Hinds","429","4.60%"
"Holmes","41","0.44%"
"Humphreys","15","0.16%"
"Issaquena","3","0.03%"
"Itawamba","64","0.69%"
"+ Jackson","545","5.84%"
"Jasper","31","0.33%"
"Jeff","20","0.21%"
"Jefferson","15","0.16%"
"Jones","226","2.42%"
"Kemper","20","0.21%"
"Lafayette","82","0.88%"
"Lamar","150","1.61%"
"+ Lauderdale","332","3.56%"
"Lawrence","26","0.28%"
"Leake","61","0.65%"
"+ Lee","332","3.56%"
"Leflore","83","0.89%"
"Lincoln","132","1.41%"
"+ Lowndes","254","2.72%"
"+ Madison","266","2.85%"
"Marion","103","1.10%"
"Marshall","105","1.13%"
"Monroe","102","1.09%"
"Montgomery","30","0.32%"
"Neshoba","92","0.99%"
"Newton","58","0.62%"
"Noxubee","18","0.19%"
"Oktibbeha","142","1.52%"
"Out-Of-State","1","0.01%"
"Panola","133","1.43%"
"Pearl","194","2.08%"
"Perry","42","0.45%"
"Pike","212","2.27%"
"Pontotoc","120","1.29%"
"Prentiss","106","1.14%"
"Quitman","22","0.24%"
"+ Rankin","485","5.20%"
"Scott","78","0.84%"
"Sharkey","17","0.18%"
"Simpson","54","0.58%"
"Smith","19","0.20%"
"Stone","60","0.64%"
"Sunflower","68","0.73%"
"Tallahatchie","35","0.38%"
"Tate","90","0.96%"
"Tippah","57","0.61%"
"Tishomingo","53","0.57%"
"Tunica","52","0.56%"
"Unavailable","52","0.56%"
"Union","106","1.14%"
"Walthall","39","0.42%"
"Warren","149","1.60%"
"Washington","176","1.89%"
"Wayne","42","0.45%"
"Webster","24","0.26%"
"Wilkinson","7","0.08%"
"Winston","58","0.62%"
"Yalobusha","29","0.31%"
"Yazoo","41","0.44%"
"Total","9332","00.00%"
