"Age","Male","Female","Total","Percent"
"16","2","0","2",""
"17","7","0","7","0.08%"
"18-19","96","5","101","1.08%"
"20-29","3056","303","3359","35.99%"
"30-39","2711","376","3087","33.08%"
"40-49","1479","222","1701","18.23%"
"50-59","790","85","875","9.38%"
"60-69","163","11","174","1.86%"
"70-79","24","2","26","0.28%"
"80+","0","0","0","0.00%"
"Total","8,328","1,004","9,332","100.00%"
