"Offense","Black","White","Hispanic","Other","Total"
"Capital Rape","1","2","0","0","3"
"Child Molestation","3","6","1","0","10"
"Child Pornography","0","2","0","0","2"
"Entice Child For Indecent Purposes","0","2","0","0","2"
"Exploitation/Child","2","12","0","0","14"
"Fondling","7","14","2","0","23"
"Fondling A Child","4","3","0","0","7"
"Gratification/Lust","4","7","1","0","12"
"Kidnap Minor","0","1","0","0","1"
"Rape","16","4","0","0","20"
"Sex Assault","3","0","0","0","3"
"Sexual Battery","36","47","0","0","83"
"Statutory Rape","42","25","3","0","70"
"Unlawful Touching/Child","10","21","0","1","32"
"Video Voyeurism","0","2","0","0","2"
"Total","128","148","7","1","284"
