"Exit Type","Total","Percent"
"OTHER","219","2.35%"
"ERS","1323","14.18%"
"EXPIRATION OF SENTENCE","797","8.54%"
"HOUSE ARREST","271","2.90%"
"PAROLE","4594","49.23%"
"PAROLE CONTINUED","69","0.74%"
"PROBATION","2059","22.06%"
"TOTAL","9332","100.00%"
