"County","Offenders","Percent"
"Adams","2","0.69%"
"Alcorn","1","0.34%"
"Amite","2","0.69%"
"Attala","7","2.41%"
"Benton","1","0.34%"
"Bolivar","1","0.34%"
"Calhoun","3","1.03%"
"Carroll","1","0.34%"
"Chickasaw","4","1.37%"
"Claiborn","1","0.34%"
"Clarke","2","0.69%"
"Clay","3","1.03%"
"Coahoma","1","0.34%"
"Desoto","9","3.09%"
"Forrest","7","2.41%"
"Franklin","1","0.34%"
"George","2","0.69%"
"Grenada","3","1.03%"
"Hancock","5","1.72%"
"Harrison","23","7.90%"
"Hinds","21","7.22%"
"Holmes","2","0.69%"
"Itawamba","2","0.69%"
"Jackson","10","3.44%"
"Jasper","1","0.34%"
"Jefferson","3","1.03%"
"Jones","10","3.44%"
"Lafayette","7","2.41%"
"Lamar","3","1.03%"
"Lauderdale","16","5.50%"
"Lawrence","2","0.69%"
"Leake","2","0.69%"
"Lee","8","2.75%"
"Leflore","3","1.03%"
"Lincoln","3","1.03%"
"Lowndes","5","1.72%"
"Madison","5","1.72%"
"Marion","6","2.06%"
"Marshall","2","0.69%"
"Monroe","5","1.72%"
"Montgomery","3","1.03%"
"Neshoba","2","0.69%"
"Newton","2","0.69%"
"Oktibbeha","4","1.37%"
"Panola","1","0.34%"
"Pearl","5","1.72%"
"Perry","3","1.03%"
"Pike","2","0.69%"
"Pontotoc","8","2.75%"
"Prentiss","5","1.72%"
"Quitman","1","0.34%"
"Rankin","14","4.81%"
"Scott","7","2.41%"
"Sharkey","1","0.34%"
"Smith","1","0.34%"
"Stone","3","1.03%"
"Sunflower","2","0.69%"
"Tallahatchie","2","0.69%"
"Tate","2","0.69%"
"Tippah","4","1.37%"
"Tishomingo","3","1.03%"
"Tunica","1","0.34%"
"Union","2","0.69%"
"Walthall","1","0.34%"
"Warren","4","1.37%"
"Washington","7","2.41%"
"Wilkinson","1","0.34%"
"Winston","2","0.69%"
"Yalobusha","1","0.34%"
"Yazoo","2","0.69%"
"TOTAL","291","100.00%"
