"County","Offenders","Percent"
"Adams","9","0.79%"
"Alcorn","20","1.75%"
"Amite","3","0.26%"
"Attala","8","0.70%"
"Benton","1","0.09%"
"Bolivar","8","0.70%"
"Calhoun","8","0.70%"
"Carroll","2","0.17%"
"Chickasaw","16","1.40%"
"Clarke","1","0.09%"
"Clay","11","0.96%"
"Coahoma","7","0.61%"
"Copiah","6","0.52%"
"Covington","2","0.17%"
"+Desoto","45","3.93%"
"+Forrest","48","4.19%"
"Franklin","3","0.26%"
"George","7","0.61%"
"Greene","2","0.17%"
"Grenada","9","0.79%"
"Hancock","14","1.22%"
"+Harrison","150","13.10%"
"+Hinds","60","5.24%"
"Holmes","2","0.17%"
"Issaquena","1","0.09%"
"Itawamba","9","0.79%"
"+Jackson","54","4.72%"
"Jasper","4","0.35%"
"Jeff","1","0.09%"
"Jefferson","1","0.09%"
"+Jones","34","2.97%"
"Kemper","2","0.17%"
"Lafayette","15","1.31%"
"Lamar","12","1.05%"
"+Lauderdale","33","2.88%"
"Lawrence","2","0.17%"
"Leake","4","0.35%"
"+Lee","27","2.36%"
"Leflore","5","0.44%"
"Lincoln","13","1.14%"
"Lowndes","26","2.27%"
"Madison","23","2.01%"
"Marion","13","1.14%"
"Marshall","8","0.70%"
"Monroe","13","1.14%"
"Montgomery","10","0.87%"
"Neshoba","12","1.05%"
"Newton","6","0.52%"
"Noxubee","3","0.26%"
"Oktibbeha","21","1.83%"
"Panola","13","1.14%"
"Pearl","20","1.75%"
"Perry","6","0.52%"
"+Pike","26","2.27%"
"Pontotoc","14","1.22%"
"Prentiss","11","0.96%"
"Quitman","2","0.17%"
"+Rankin","68","5.94%"
"Scott","4","0.35%"
"Sharkey","2","0.17%"
"Simpson","3","0.26%"
"Smith","1","0.09%"
"Stone","9","0.79%"
"Sunflower","12","1.05%"
"Tallahatchie","3","0.26%"
"Tate","7","0.61%"
"Tippah","6","0.52%"
"Tishomingo","4","0.35%"
"Tunica","8","0.70%"
"Unavailable","1","0.09%"
"Union","9","0.79%"
"Walthall","4","0.35%"
"Warren","9","0.79%"
"Washington","12","1.05%"
"Wayne","5","0.44%"
"Webster","6","0.52%"
"Winston","8","0.70%"
"Yalobusha","5","0.44%"
"Yazoo","3","0.26%"
"TOTAL","1,075","100.00%"
