"Age","Male","Female","Total","Percent"
"16-17","0","0","0","0.00%"
"18-19","6","0","6","2.06%"
"20-29","83","2","85","29.21%"
"30-39","68","4","72","24.74%"
"40-49","51","1","52","17.87%"
"50-59","41","0","41","14.09%"
"60-69","28","0","28","9.62%"
"70-79","7","0","7","2.41%"
"80+","0","0","0","0.00%"
"Total","284","7","291","100.00%"
