"TOTAL
20,509","","100.00%","","","1,658","","","","100.00%","","","22,167","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","Female","","Male","Female","Male","","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","2,276","0","","1,066","0","12","","0","1","","0","4","0","0","0","3,359"
"CMCF","1,519","437","","797","533","27","","4","4","","1","3","0","2","0","3,327"
"SMCI","2,146","0","","960","0","51","","0","3","","0","7","0","0","0","3,167"
"County Jails (approved)","783","36","","504","52","3","","0","4","","0","4","0","2","1","1,389"
"County Jails (unapproved)","259","7","","162","11","5","","0","3","","0","2","0","18","1","468"
"Private Prisons","3,097","0","","1,007","0","21","","0","3","","0","4","0","0","0","4,132"
"Regional Correctional Facilities","2,709","140","","1,294","156","36","","1","2","","1","6","0","2","0","4,347"
"Community Work Centers","820","75","","461","165","5","","2","1","","0","2","0","0","0","1,531"
"Community Trusties","10","0","","4","0","0","","0","0","","0","0","0","0","0","14"
"Pending File Review","50","3","","24","4","3","","0","0","","0","0","0","0","0","84"
"Court Order","188","7","","131","20","1","","0","0","","1","1","0","0","0","349"
"","13,857","705","","6,410","941","164","","7","21","","3","33","0","24","2","22,167"
"Intensive Supervison Program","627","168","","539","271","7","","1","3","","0","3","3","1","0","1,623"
"Earned Release Supervision","1,021","88","","429","74","6","","1","0","","0","1","1","0","0","1,621"
"Medical Release","17","1","","6","1","0","","0","0","","0","0","0","0","0","25"
"Other Custody","209","10","","159","20","44","","5","0","","1","2","0","4","0","454"
"At Large","21","0","","8","2","3","","0","0","","0","0","0","0","0","34"
"Off-Grounds Medical (Hospital)","12","1","","5","0","0","","0","0","","0","0","0","0","0","18"
"TOTAL","15,764","973","","7,556","1,309","224","","14","24","","4","39","4","29","2","25,942"
"% OF TOTAL OFFENDERS","60.77%","3.75%","","29.13%","5.05%",".86%","",".05%",".09%","",".02%",".15%",".02%",".11%",".01%","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","",""
"","","","","","","","AGGRAVATED","","","","","","","","",""
"","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","SEX","","","",""
"LOCATION","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","TOTAL"
"MSP","","","770","750","","","164","","","1,205","","","470","","","3,359"
