"","","","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","","","",""
"","","","","","MONTHLY FACT SHEET","","","",""
"","","","","","As of August 1, 2003","","","",""
"","INMATE STATISTICS (continued)","","","","","","","",""
"BY RACE AND SEX","","","","","","","","",""
"","","","% OF","","% OF","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL","",""
"RACE
MALE","","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS","",""
"Black","14,834","","69.84%","1,225","55.28%","16,059","68.46%","",""
"White","6,236","","29.36%","973","43.91%","7,209","30.73%","",""
"Hispanic","115","","0.54%","8","0.36%","123","0.52%","",""
"Native American","26","","0.12%","3","0.14%","29","0.12%","",""
"Asian","29","","0.14%","","0.32%","36","0.15%","",""
"Data Unavailable","0","","0.00%","7 0","0.00%","0","0.00%","",""
"TOTAL","21,240","","100.00%","2,216","100.00%","23,456","100.00%","",""
"BY RACE/SEX AND LOCATION","","","","","","","","",""
"","","Black","","White","Hispanic","Native American","Asian","Data Unavailable","TOTAL"
"LOCATION","","Male","Female","Male
Female","Male
Female","Male
Female","Male
Female
Male","Female",""
"MSP","","4,217","0","1,438
0","37
0","6
0","6
0","0
0","5,704"
"CMCF","","1,097","856","647
558","12
6","4
0","2
6","0
0","3,188"
"SMCI","","1,389","0","734
0","18
0","5
0","5
0","0
0","2,151"
"County Jails (approved)","","1,013","47","629
55","9
1","2
0","4
0","0
0","1,760"
"County Jails (unapproved)","","93","8","74
24","1
0","0
0","1
0","0
0","201"
"Private Prisons","","2,580","0","885
0","6
0","4
0","3
0","0
0","3,478"
"Regional Correctional Facilities","","2,015","0","562
0","10
0","0
0","3
0","0
0","2,590"
"Community Work Centers","","859","95","362
88","9
0","1
0","2
0","0
0","1,416"
"Community Trusties","","15","0","7
0","1
0","0
0","0
0","0
0","23"
"","","13,278","1,006","5,338
725","103
7","22
0","26
6","0
0","20,511"
"Intensive Supervison Program","","590","125","497
181","5
1","3
2","2
0","0
0","1,406"
"Earned Release Supervision","","775","85","266
51","2
0","1
1","1
0","0
0","1,182"
"Medical Release","","0","0","0
0","0
0","0
0","0
0","0
0","0"
"Other Custody","","93","2","92
8","3
0","0
0","0
0","0
0","198"
"At Large","","95","7","43
8","2
0","0
0","0
1","0
0","156"
"University of MS Medical Center","","3","","0
0","0
0","0
0","0
0","0
0","3"
"TOTAL","","14,834","1,225","6,236
973","115
8","26
3","29
7","0
0","23,456"
"% of Total Offenses","","63.24%","5.22%","26.59%
4.15%","0.49%
0.03%","0.11%
0.01%","0.12%
0.03%","0.00%
0.00%","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","",""
"","","DRUG","","PROPERTY","VIOLENT","","","",""
"LOCATION","","OFFENSES","","OFFENSES","OFFENSES","TOTAL","","",""
"MSP","","","1,408","1,297","2,999","5,704","","",""
"CMCF","","","1,070","1,142","976","3,188","","",""
"SMCI","","","693","747","711","2,151","","",""
"County Jails (approved)","","","808","682","270","1,760","","",""
"County Jails (unapproved)","","","73","88","40","201","","",""
"Private Prisons","","","669","942","1,867","3,478","","",""
"Regional Correctional Facilities","","","881","589","1,120","2,590","","",""
"Community Work Centers","","","770","636","10","1,416","","",""
"Community Trusties","","","9","9","5","23","","",""
"","","","6,381","6,132","7,998","20,511","CUSTODY POPULATION","",""
"Intensive Supervison Program","","","472","895","39","1,406","","",""
"Earned Release Supervision","","","462","491","229","1,182","","",""
"Medical Release","","","0","0","0","0","","",""
"Other Custody","","","55","79","64","198","","",""
"At Large","","","57","76","23","156","","",""
"University of MS Medical Center","","","1","1","1","3","","",""
"TOTAL","","","7,428","7,674","8,354","23,456","","",""
"% of Total Offenses","","","31.67%","32.72%","35.62%","100.00%","","",""
"SPECIFIC OFFENSE STATISTICS","","","","","","TABE TEST STATISTICS","","",""
"","","","NO. OF","","GRADE","READING","MATH","PERCENT TESTED",""
"TYPE OF OFFENDER","","","OFFENDERS","","LEVEL","TESTED
%","TESTED
%","USING TABE",""
"Armed Robbery (Mandatory)","","","","1,877","8.8 - 12.9","1,613
34.09%","494
10.44%","Total Population","20,511"
"Lifers","","","","1,783","6.6 - 8.9","1,692
35.76%","1,439
30.40%","TABE Tested","4,733"
"Habitual Offenders","","","","1,460","3.6 - 6.9","866
18.30%","2,065
43.63%","",""
"","","","","","","","","","23.08%"
"Habitual Lifers","","","","300","1.6 - 3.9","550
11.63%","721
15.23%","",""
"Death Row","","","","69","0.0 - 1.9","10
0.21%","14
0.30%","",""
"TOTAL","","","","5,489","TOTAL","4,731
100.00%","4,733","100.00% TABE test started September 2002",""
