"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,246","","0","1,060","","0","17","","0","6","","0","6","","0","0","0","","3,335"
"CMCF","1,014","","417","617","","456","12","","4","3","","2","4","","1","0","0","","2,530"
"SMCI","2,058","","0","1,088","","0","43","","3","1","","0","7","","0","0","0","","3,200"
"County Jails (approved)","788","","27","483","","43","9","","0","3","","1","0","","0","0","0","","1,354"
"County Jails (unapproved)","51","","5","40","","16","0","","0","0","","0","0","","0","0","0","","112"
"Youthful Offender Facility","32","","0","12","","0","0","","0","0","","0","0","","0","0","0","","44"
"Private Prisons","3,201","","0","1,048","","0","34","","0","7","","0","3","","0","2","0","","4,295"
"Regional Correctional Facilities","2,770","","145","1,289","","147","37","","3","2","","0","8","","1","0","0","","4,402"
"Community Work Centers","588","","53","342","","143","0","","1","2","","0","3","","0","0","0","","1,132"
"Community Trusties","7","","0","6","","0","0","","0","0","","0","0","","0","0","0","","13"
"Pending File Review","28","","5","21","","5","0","","0","1","","0","2","","0","0","0","","62"
"Court Order","136","","4","80","","17","1","","0","0","","0","3","","0","0","0","","241"
"","12,919","","656","6,086","","827","153","","11","25","","3","36","","2","2","0","","20,720"
"Intensive Supervison Program","607","","169","457","","249","6","","4","0","","1","3","","0","0","0","","1,496"
"Earned Release Supervision","933","","64","316","","72","5","","0","2","","0","2","","0","0","0","","1,394"
"Medical Release","15","","0","7","","3","0","","0","0","","0","0","","0","0","0","","25"
"Other Custody","222","","11","162","","24","48","","5","1","","1","5","","0","3","0","","482"
"At Large","17","","0","9","","2","3","","0","0","","0","0","","0","0","0","","31"
"Off-Grounds Medical (Hospital)","5","","0","2","","0","0","","0","0","","0","0","","0","0","0","","7"
"TOTAL","14,718","","900","7,039","","1,177","215","","20","28","","5","46","","2","5","0","","24,155"
"% OF TOTAL OFFENDERS","60.93%","","3.73%","29.14%","","4.87%",".89%","",".08%",".12%","",".02%",".19%","",".01%",".02%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","726","","702","","","189","","","1,204","","","514","","","","3,335",""
"CMCF","","","690","","764","","","121","","","676","","","279","","","","2,530",""
"SMCI","","","622","","760","","","172","","","1,086","","","560","","","","3,200",""
"County Jails (approved)","","","629","","535","","","32","","","95","","","63","","","","1,354",""
"Youthful Offender Facility","","","","","8","","","4","","","27","","","4","","","","44",""
"County Jails (unapproved)","","","9","","61","","","4","","","13","","","5","","","","112",""
"Private Prisons","","","502","","822","","","284","","","2,039","","","648","","","","4,295",""
"Regional Correctional Facilities","","","915","","1,024","","","331","","","1,308","","","825","","","","4,403",""
"Community Work Centers","","","686","","444","","","0","","","2","","","0","","","","1,132",""
"Community Trusties","","","","","","","","0","","","0","","","0","","","","13",""
"Pending File Review","","","4","","0","","","7","","","0","","","1","","","","62",""
"Court Order","","","90","","94","","","6","","","36","","","15","","","","241",""
"TOTAL CUSTODY POPULATION","","","4,923","","5,248","","","1,150","","","6,486","","","2,914","","","","20,721",""
"% OF TOTAL OFFENSES","","","23.76%","","25.33%","","","5.55%","","","31.30%","","","14.06%","","","","100.00%",""
"Intensive Supervison Program","","","646","","788","","","16","","","41","","","4","","","","1,495",""
"Earned Release Supervision","","","414","","435","","","179","","","363","","","3","","","","1,394",""
"Medical Release","","","13","","8","","","1","","","3","","","","","","","25",""
"Other Custody","","","186","","183","","","12","","","78","","","3","","","","482",""
"At Large","","","","","7","","","","","","7","","","0","","","","31",""
"Off-Grounds Medical (Hospital)","","","","","","","","","","","3","","","1","","","","7",""
"TOTAL","","","6,189","","6,680","","","1,360","","","6,981","","","2,945","","","","24,155",""
"% OF TOTAL OFFENSES","","","25.62%","","27.66%","","","5.63%","","","28.90%","","","12.19%","","","","100.00%","1 2
9 2
7 0
4 3
11
0 2
0 2"
