"BY RACE/SEX AND LOCATION","","","","","","",""
"","","Black","White","Hispanic","Native American","Asian","Data Unavailable
TOTAL"
"LOCATION","Male","Female","Male
Female","Male
Female","Male
Female","Male
Female","Male
Female"
"MSP","2,297","1","1,025
0","10
0","1
0","4
0","0
0
3,338"
"CMCF","1,427","454","737
507","17
5","3
2","4
0","0
0
3,156"
"SMCI","2,111","0","1,049
0","44
0","4
0","11
0","0
0
3,219"
"Youthful Offender","22","0","3
0","1
0","0
0","0
0","0
0
26"
"County Jails (approved)","879","46","539
64","4
0","2
0","6
0","0
0
1,540"
"County Jails (unapproved)","210","20","135
27","3
0","0
0","2
0","0
0
397"
"Private Prisons","3,223","0","1,058
0","26
0","2
0","5
0","0
0
4,314"
"Regional Correctional Facilities","2,747","139","1,254
162","36
2","2
1","8
0","0
0
4,351"
"Community Work Centers","822","76","447
172","2
0","1
0","1
0","1
0
1,522"
"Community Trusties","8","0","4
0","0
0","0
0","0
0","0
0
12"
"Pending File Review","32","0","28
5","1
1","0
0","0
0","0
0
67"
"Court Order","196","9","105
26","1
0","1
0","1
0","0
0
339"
"","13,974","745","0
963","145
8","16
3","42
0","1
0
22,281"
"Intensive Supervison Program","618","161","503
263","5
1","4
0","4
2","4
1
1,566"
"Earned Release Supervision","1,006","81","436
92","5
0","1
0","3
0","0
0
1,624"
"Medical Release","18","1","6
2","0
0","0
0","0
0","0
0
27"
"Other Custody","223","10","160
26","47
5","0
1","2
0","4
0
478"
"At Large","21","0","8
2","3
0","0
0","0
0","0
0
34"
"Off-Grounds Medical (Hospital)","7","0","2
2","0
0","0
0","0
0","0
0
11"
"TOTAL","15,867","998","1,115
1,350","205
14","21
4","51
2","9
1
26,021"
"% OF TOTAL OFFENDERS","60.98%","3.84%","4.29%
5.19%",".79%
.05%",".08%
.02%",".20%
.01%",".03%
.00%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","",""
"","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","756","761","164","1,187","470","3,338"
"CMCF","","871","1,013","154","800","318","3,156"
"SMCI","","696","801","184","1,007","531","3,219"
"Youthful Offender Facility","","0","4","0","17","5","26"
"County Jails (approved)","","784","643","17","64","32","1,540"
"County Jails (unapproved)","","137","200","13","34","13","397"
"Private Prisons","","482","868","282","2,074","608","4,314"
"Regional Correctional Facilities","","950","1,125","308","1,179","789","4,351"
"Community Work Centers","","924","594","0","4","0","1,522"
"Community Trusties","","","","0","0","0","12"
"Pending File Review","","1","8","0","5","3","67"
"Court Order","","126","148","9","40","16","339"
"TOTAL CUSTODY POPULATION","","5,773","6,181","1,131","6,411","2,785","22,281"
"% OF TOTAL OFFENSES","","25.91%","27.74%","5.08%","28.77%","12.50%","100.00%"
"Intensive Supervison Program","","721","776","17","46","6","1,566"
"Earned Release Supervision","","495","539","194","390","6","1,624"
"Medical Release","","12","8","2","5","","27"
"Other Custody","","206","173","12","67","0","478"
"At Large","","","0","0","7","","34"
"Off-Grounds Medical (Hospital)","","","","0","5","","11"
"TOTAL","","7,215","7,702","1,356","6,931","2,817","26,021"
"% OF TOTAL OFFENSES","","27.73%","29.60%","5.21%","26.64%","10.83%","6 4
7 1
6 1
52
0 2
0 0
100.00%"
