"","","","","","","","As of April 1, 2009","","","","","","","","",""
"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","",""
"","","% OF","","","","","% OF","","","","","","% OF","","",""
"","","TOTAL MALE","","","","","TOTAL FEMALE","","","NO. OF","","TOTAL","","","",""
"RACE
MALE","","POPULATION","","","FEMALE","","POPULATION","","","OFFENDERS","","","OFFENDERS","","",""
"Black
16,235","","69.06%","","","1,231","","50.14%","","","17,466","","","67.28%","","",""
"White
6,956","","29.59%","","","1,196","","48.72%","","","8,152","","","31.40%","","",""
"Hispanic
241","","1.03%","","","5","","0.61%","","","256","","0.99%","","","",""
"Native American
24","","0.10%","","","41","","0.16%","","","28","","0.11%","","","",""
"Asian
38","","0.16%","","","","","0.16%","","","42","","0.16%","","","",""
"Data Unavailable
13","","0.06%","","","4 5","","0.20%","","","18","","0.07%","","","",""
"TOTAL
23,507","","100.00%","","","2,455","","100.00%","","","25,962","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","","Black","","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","2,917","","0","1,144","","1","34","0","2","","0","3","0","1","0","4,102"
"CMCF","1,298","","743","713","","672","21","11","1","","1","2","2","0","0","3,464"
"SMCI","2,031","","0","993","","0","50","0","3","","0","8","0","0","0","3,085"
"County Jails (approved)","558","","94","326","","97","12","1","2","","0","1","0","1","0","1,092"
"County Jails (unapproved)","184","","11","88","","20","6","0","0","","0","0","1","4","2","316"
"Private Prisons","4,092","","0","1,331","","0","33","0","7","","0","7","0","1","0","5,471"
"Regional Correctional Facilities","2,134","","0","769","","0","17","0","3","","0","8","0","1","0","2,932"
"Community Work Centers","1,008","","107","448","","145","15","0","2","","0","1","0","0","0","1,726"
"Community Trusties","13","","0","4","","0","0","0","0","","0","0","0","0","0","17"
"Pending File Review","67","","11","37","","10","0","0","0","","1","0","0","0","0","126"
"Court Order","184","","6","88","","16","1","0","0","","0","1","0","0","0","296"
"","14,486","","972","5,941","","961","189","12","20","","2","31","3","8","2","22,627"
"Intensive Supervison Program","460","","143","396","","158","4","0","2","","1","4","1","1","2","1,172"
"Earned Release Supervision","1,108","","99","472","","61","4","0","2","","0","2","0","0","0","1,748"
"Medical Release","19","","4","12","","1","0","0","0","","0","0","0","0","0","36"
"Other Custody","128","","11","117","","13","41","3","0","","1","1","0","4","1","320"
"At Large","29","","1","14","","2","3","0","0","","0","0","0","0","0","49"
"Off-Grounds Medical (Hospital)","5","","1","4","","0","0","0","0","","0","0","0","0","0","10"
"TOTAL","16,235","","1,231","6,956","","1,196","241","15","24","","4","38","4","13","5","25,962"
"% OF TOTAL OFFENSES","62.53%","","4.74%","26.79%","","4.61%","0.93%","0.06%","0.09%","","0.02%","0.15%","0.02%","0.05%","0.02%","100.00%"
