"BY RACE/SEX AND LOCATION","","","","","","",""
"","","Black","White","Hispanic","Native American","Asian","Data Unavailable
TOTAL"
"LOCATION","Male","Female","Male
Female","Male
Female","Male
Female","Male
Female","Male
Female"
"MSP","2,226","0","1,005
0","22
0","2
0","4
0","0
0
3,259"
"CMCF","1,128","364","675
441","15
3","4
3","4
1","0
0
2,638"
"SMCI","1,774","0","905
0","30
0","2
0","5
0","1
0
2,717"
"County Jails (approved)","374","20","252
35","4
0","0
0","0
1","1
0
687"
"County Jails (unapproved)","204","17","153
28","1
1","3
0","0
1","1
1
410"
"Youthful Offender Facility","24","0","3
0","1
0","0
0","0
0","0
0
28"
"Private Prisons","2,816","0","1,039
0","24
0","8
0","6
0","0
0
3,893"
"Regional Correctional Facilities","2,372","98","1,058
115","35
2","5
0","11
0","0
0
3,696"
"Community Work Centers","585","50","299
122","0
2","2
0","2
0","3
0
1,065"
"Community Trusties","10","0","1
0","1
0","0
0","0
0","0
0
12"
"Pending File Review","28","6","23
6","0
0","0
0","1
0","0
0
64"
"Court Order","118","1","93
8","2
1","0
0","0
0","0
0
223"
"","11,659","556","5,506
755","135
9","26
3","33
3","6
1
18,692"
"Intensive Supervison Program","335","95","235
117","4
2","1
1","4
0","0
0
794"
"Earned Release Supervision","552","61","190
37","2
0","0
0","1
0","0
0
843"
"Medical Release","7","0","4
2","0
0","0
0","0
0","0
0
13"
"Other Custody","242","13","195
24","42
4","3
0","3
0","3
0
529"
"At Large","15","0","6
2","3
0","0
0","0
0","0
0
26"
"Off-Grounds Medical (Hospital)","9","0","2
0","0
0","0
0","0
0","0
0
11"
"TOTAL","12,819","725","6,138
937","186
15","30
4","41
3","9
1
20,908"
"% OF TOTAL OFFENDERS","61.31%","3.47%","29.36%
4.48%",".89%
.07%",".14%
.02%",".20%
.01%",".04%
.00%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","",""
"","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","578","541","192","1,402","546","3,259"
"CMCF","","655","782","141","810","250","2,638"
"SMCI","","485","538","170","1,044","480","2,717"
"County Jails (approved)","","384","221","17","55","10","687"
"Youthful Offender Facility","","0","1","5","14","8","28"
"County Jails (unapproved)","","118","164","24","82","22","410"
"Private Prisons","","481","547","274","1,909","682","3,893"
"Regional Correctional Facilities","","646","637","277","1,351","785","3,696"
"Community Work Centers","","716","315","2","32","0","1,065"
"Community Trusties","","10","","0","0","0","12"
"Pending File Review","","27","6","3","8","0","64"
"Court Order","","66","82","11","52","12","223"
"TOTAL CUSTODY POPULATION","","4,166","3,856","1,116","6,759","2,795","18,692"
"% OF TOTAL OFFENSES","","22.29%","20.63%","5.97%","36.16%","14.95%","100.00%"
"Intensive Supervison Program","","338","388","8","55","5","794"
"Earned Release Supervision","","254","61","146","379","3","843"
"Medical Release","","7","3","0","3","","13"
"Other Custody","","180","215","17","91","6","529"
"At Large","","","4","0","6","0","26"
"Off-Grounds Medical (Hospital)","","","","0","6","2","11"
"TOTAL","","4,954","4,537","1,287","7,299","2,831","20,908"
"% OF TOTAL OFFENSES","","23.70%","21.70%","6.16%","34.91%","13.54%","6 3
2 2
01
0 2
100.00%"
