"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,802","","2","1,360","0","19","0","2","0","3","0","0","0","5,188"
"CMCF","1,150","","757","613","422","12","6","1","1","2","2","0","0","2,966"
"SMCI","1,463","","0","611","0","12","0","0","0","1","0","0","0","2,087"
"County Jails (approved)","998","","70","496","47","4","2","3","1","2","2","0","0","1,625"
"County Jails (unapproved)","48","","8","44","7","0","0","0","0","0","0","0","0","107"
"Private Prisons","2,909","","0","719","0","7","0","2","0","2","0","0","0","3,639"
"Regional Correctional Facilities","1,582","","0","424","0","3","0","3","0","3","0","0","0","2,015"
"Community Work Centers","860","","74","266","47","5","0","2","1","0","1","0","0","1,256"
"Community Trusties","15","","0","7","0","0","0","0","0","0","0","0","0","22"
"","12,827","","911","4,540","523","62","8","13","3","13","5","0","0","18,905"
"Intensive Supervison Program","621","","116","439","114","1","1","2","2","2","0","0","0","1,298"
"Earned Release Supervision","686","","74","236","42","5","0","1","1","0","0","0","0","1,045"
"Medical Release","1","","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","86","","7","94","12","4","0","0","0","0","1","0","0","204"
"At Large","46","","4","23","4","1","0","0","0","1","0","0","0","79"
"University of MS Medical Center","6","","2","0","1","0","0","0","0","0","0","0","0","9"
"TOTAL","14,273","","1,114","5,332","696","73","9","16","6","16","6","0","0","21,541"
"% of Total Offenses","66.26%","","5.17%","24.75%","3.23%","0.34%","0.04%","0.07%","0.03%","0.07%","0.03%","0.00%","0.00%","100.00%"
