"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,118","","0","961","","0","20","","0","2","","0","5","","0","1","0","","3,107"
"CMCF","878","","371","465","","450","10","","6","3","","2","1","","0","2","0","","2,188"
"SMCI","1,627","","0","845","","0","33","","0","2","","0","4","","0","1","0","","2,512"
"County Jails (approved)","332","","17","190","","36","4","","0","0","","0","0","","1","0","0","","580"
"County Jails (unapproved)","159","","2","105","","14","1","","0","0","","0","2","","0","2","0","","285"
"Youthful Offender Facility","24","","0","3","","0","1","","0","0","","0","0","","0","0","0","","28"
"Private Prisons","2,858","","0","975","","0","24","","0","10","","0","8","","0","0","0","","3,875"
"Regional Correctional Facilities","2,717","","94","1,233","","111","37","","0","5","","0","11","","0","1","0","","4,209"
"Community Work Centers","632","","57","359","","122","1","","2","2","","0","2","","0","1","0","","1,178"
"Community Trusties","10","","0","3","","0","0","","0","0","","0","0","","0","0","0","","13"
"Pending File Review","41","","5","28","","3","0","","0","1","","0","1","","0","0","0","","79"
"Court Order","123","","4","72","","9","1","","1","0","","0","0","","1","0","0","","211"
"","11,519","","550","5,239","","745","132","","9","25","","2","34","","2","8","0","","18,265"
"Intensive Supervison Program","338","","102","273","","141","1","","1","0","","1","3","","1","1","0","","862"
"Earned Release Supervision","560","","50","179","","36","3","","1","0","","0","2","","0","0","0","","831"
"Medical Release","8","","0","5","","2","0","","0","0","","0","0","","0","0","0","","15"
"Other Custody","255","","16","193","","27","51","","5","2","","1","4","","0","3","0","","557"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","5","","0","1","","2","0","","0","0","","0","0","","0","0","0","","8"
"TOTAL","12,701","","718","5,896","","955","190","","16","27","","4","43","","3","12","0","","20,565"
"% OF TOTAL OFFENDERS","61.76%","","3.49%","28.67%","","4.64%",".92%","",".08%",".13%","",".02%",".21%","",".01%",".06%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","598","","537","","","175","","","1,310","","","487","","","","3,107",""
"CMCF","","","546","","561","","","128","","","720","","","233","","","","2,188",""
"SMCI","","","428","","528","","","143","","","936","","","477","","","","2,512",""
"County Jails (approved)","","","344","","171","","","12","","","49","","","","","","","580",""
"Youthful Offender Facility","","","","","0","","","6","","","16","","","","","","","28",""
"County Jails (unapproved)","","","8","","132","","","11","","","42","","","22","","","","285",""
"Private Prisons","","","472","","516","","","280","","","1,957","","","650","","","","3,875",""
"Regional Correctional Facilities","","","733","","736","","","324","","","1,525","","","891","","","","4,209",""
"Community Work Centers","","","765","","395","","","3","","","15","","","0","","","","1,178",""
"Community Trusties","","","","","","","","0","","","0","","","0","","","","13",""
"Pending File Review","","","0","","6","","","3","","","18","","","2","","","","79",""
"Court Order","","","67","","82","","","11","","","42","","","9","","","","211",""
"TOTAL CUSTODY POPULATION","","","4,060","","3,698","","","1,096","","","6,630","","","2,781","","","","18,265",""
"% OF TOTAL OFFENSES","","","22.23%","","20.25%","","","6.00%","","","36.30%","","","15.23%","","","","100.00%",""
"Intensive Supervison Program","","","358","","437","","","9","","","53","","","5","","","","862",""
"Earned Release Supervision","","","241","","67","","","145","","","373","","","5","","","","831",""
"Medical Release","","","8","","4","","","0","","","3","","","","","","","15",""
"Other Custody","","","194","","233","","","16","","","87","","","7","","","","557",""
"At Large","","","","","4","","","0","","","7","","","0","","","","27",""
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","5","","","1","","","","8",""
"TOTAL","","","4,867","","4,455","","","1,266","","","7,158","","","2,819","","","","20,565",""
"% OF TOTAL OFFENSES","","","23.67%","","21.66%","","","6.16%","","","34.81%","","","13.71%","","","","100.00%","0 7
9 2
6 0
4 3
21
0 2
4 6"
