"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,301","","0","1,055","","0","21","","0","3","","0","5","","0","0","0","","3,385"
"CMCF","1,206","","354","697","","463","19","","5","4","","3","4","","1","1","1","","2,758"
"SMCI","1,806","","0","955","","0","26","","0","0","","0","5","","0","0","0","","2,792"
"County Jails (approved)","517","","9","329","","27","4","","0","2","","1","1","","0","1","0","","891"
"County Jails (unapproved)","193","","8","153","","21","1","","0","0","","0","2","","0","0","0","","378"
"Youthful Offender Facility","28","","0","1","","0","1","","0","0","","0","0","","0","0","0","","30"
"Private Prisons","2,831","","0","1,063","","0","28","","0","9","","0","5","","0","0","0","","3,936"
"Regional Correctional Facilities","2,169","","112","976","","116","31","","3","4","","0","7","","0","1","0","","3,419"
"Community Work Centers","527","","50","295","","123","0","","2","2","","0","3","","0","1","0","","1,003"
"Community Trusties","13","","0","1","","0","0","","0","1","","0","2","","0","0","0","","17"
"Pending File Review","39","","5","28","","5","0","","0","0","","0","1","","0","0","0","","78"
"Court Order","148","","3","108","","17","0","","0","0","","0","1","","0","0","0","","277"
"","11,778","","541","5,661","","772","131","","10","25","","4","36","","1","4","1","","18,964"
"Intensive Supervison Program","321","","100","239","","129","5","","3","1","","0","2","","0","0","0","","800"
"Earned Release Supervision","560","","64","185","","42","3","","0","0","","0","1","","0","0","0","","855"
"Medical Release","5","","0","5","","2","0","","0","0","","0","0","","0","0","0","","12"
"Other Custody","228","","12","206","","23","42","","4","1","","1","3","","0","3","0","","523"
"At Large","15","","0","6","","2","3","","0","0","","0","0","","0","0","0","","26"
"Off-Grounds Medical (Hospital)","9","","0","0","","1","0","","0","1","","0","0","","0","0","0","","11"
"Conditional Release","0","","0","1","","1","0","","0","0","","0","0","","0","0","0","","2"
"TOTAL","12,916","","717","6,303","","972","184","","17","28","","5","42","","1","7","1","","21,193"
"% OF TOTAL OFFENDERS","60.94%","","3.38%","29.74%","","4.59%",".87%","",".08%",".13%","",".02%",".20%","",".00%",".03%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","623","","571","","","194","","","1,448","","","549","","","","3,385",""
"CMCF","","","643","","764","","","154","","","892","","","305","","","","2,758",""
"SMCI","","","486","","549","","","158","","","1,058","","","541","","","","2,792",""
"County Jails (approved)","","","480","","286","","","17","","","100","","","","","","","891",""
"Youthful Offender Facility","","","0","","3","","","5","","","17","","","","","","","30",""
"County Jails (unapproved)","","","116","","177","","","18","","","50","","","17","","","","378",""
"Private Prisons","","","495","","559","","","271","","","1,930","","","681","","","","3,936",""
"Regional Correctional Facilities","","","613","","623","","","274","","","1,237","","","672","","","","3,419",""
"Community Work Centers","","","660","","302","","","1","","","40","","","0","","","","1,003",""
"Community Trusties","","","13","","","","","0","","","0","","","0","","","","17",""
"Pending File Review","","","26","","0","","","2","","","8","","","2","","","","78",""
"Court Order","","","76","","114","","","17","","","61","","","9","","","","277",""
"TOTAL CUSTODY POPULATION","","","4,231","","3,992","","","1,111","","","6,841","","","2,789","","","","18,964",""
"% OF TOTAL OFFENSES","","","22.31%","","21.05%","","","5.86%","","","36.07%","","","14.71%","","","","100.00%",""
"Intensive Supervison Program","","","363","","376","","","6","","","50","","","5","","","","800",""
"Earned Release Supervision","","","272","","64","","","143","","","372","","","4","","","","855",""
"Medical Release","","","6","","4","","","0","","","2","","","0 2","","","","12",""
"Other Custody","","","176","","221","","","16","","","84","","","6","","","","523",""
"At Large","","","","","14","","","0","","","6","","","0","","","","26",""
"Off-Grounds Medical (Hospital)","","","6 2","","1","","","1","","","4","","","3","","","","11",""
"Conditional Release","","","0","","0","","","0","","","2","","","0","","","","2",""
"TOTAL","","","5,056","","4,672","","","1,277","","","7,361","","","2,827","","","","21,193",""
"% OF TOTAL OFFENSES","","","23.86%","","22.05%","","","6.03%","","","34.73%","","","13.34%","","","","100.00%","4 4
8 5"
