"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"642 
 
84 
 
726","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","298","47","","345","47.52"
"Black","331","36","","367","50.55"
"Hispanic","8","1","","9","1.24"
"Other","4","0","","4",".55"
"Unknown Race","1","0","","1",".14"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"50 - 59","539","78","","617","84.99"
"60 - 69","95","6","","101","13.91"
"70—79","8","0","","8","1.10"
"Over 80","0","0","","0",".00"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","59","6","","65","8.95"
"Homicide/Manslaughter","30","1","","31","4.27"
"Property","234","31","","265","36.50"
"Possession of Drugs","134","19","","153","21.07"
"Robbery","10","2","","12","1.65"
"Sale of Drugs","75","19","","94","12.95"
"Sex Offense","64","0","","64","8.82"
"Violent","36","6","","42","5.79"
