"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"94 
 
2 
 
96","","","","",""
"R","","","","",""
"ACE 
MALE 
FEMALE 
  
TOTAL 
%","","","","",""
"White 
17 
1 
 
18 
18.75","","","","",""
"Black 
77 
1 
 
78 
81.25","","","","",""
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","6","0","","6","6.25"
"16","11","0","","11","11.46"
"17","77","2","","79","82.29"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","37","1","","38","39.58"
"Homicide/Manslaughter","2","1","","3","3.13"
"Property","13","0","","13","13.54"
"Possession of Drugs","1","0","","1","1.04"
"Robbery","30","0","","30","31.25"
"Sale of Drugs","2","0","","2","2.08"
"Sex Offense","2","0","","2","2.08"
"Violent","7","0","","7","7.29"
