"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"414 
 
11 
 
425","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","212","10","","222","52.24"
"Black","192","1","","193","45.41"
"Hispanic","8","0","","8","1.88"
"Other","2","0","","2",".47"
"Unknown Race","0","0","","0",".00"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","1","0","","1",".24"
"16","0","0","","0",".00"
"17","1","0","","1",".24"
"18 - 19","21","0","","21","4.94"
"20 - 29","131","5","","136","32.00"
"30 - 39","117","5","","122","28.71"
"40 - 49","79","1","","80","18.82"
"50 - 59","43","0","","43","10.12"
"60 - 69","20","0","","20","4.71"
"70 - 79","1","0","","1",".24"
"80+","0","0","","0",".00"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Capital Rape","2","0","","2",".47"
"Child Molestation","4","0","","4",".94"
"Child Pornography","1","0","","1",".24"
"Entice Child for Indecent Purposes","2","0","","2",".47"
"Exploitation of Child","24","0","","24","5.65"
"Failure to Register as Sex Offender","64","0","","64","15.06"
"Fondling","37","0","","37","8.71"
"Fondling a Child","3","0","","3",".71"
