"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Escape - Return","0","0","0","1","2","12",".12"
"Federal Inmate","0","0","0","0","0","5",".05"
"Interstate Compact","0","0","0","0","0","1",".01"
"ISP - Prison","0","0","0","1","1","4",".04"
"New Prisoner","450","445","463","413","482","5,057","51.68"
"Non-Adjudicated Probation","0","0","0","0","0","1",".01"
"Non-Adjudicated RID","8","9","13","6","18","119","1.22"
"Probation Revoked","211","255","220","195","309","2,741","28.01"
"Return - ERS","43","50","35","39","39","497","5.08"
"Return - House Arrest","35","53","44","29","36","461","4.71"
"Return - Medical","0","1","1","0","0","4",".04"
"Return Parole","50","72","81","80","65","868","8.87"
"Sentenced to Probation","0","0","0","0","0","1",".01"
"Warrant - Other Custody","1","1","1","1","2","14",".14"
"TOTAL","798","886","858","765","954","9,785","100.00"
