"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"8,699 
 
1,086 
 
9,785","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","3,242","706","","3,948","40.35"
"Black","5,341","367","","5,708","58.33"
"Hispanic","82","8","","90",".92"
"Other","31","5","","36",".37"
"Unknown Race","3","0","","3",".03"
"","","","","",""
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","6","0","","6",".06"
"16","11","0","","11",".11"
"17","77","2","","79",".81"
"18 - 19","487","21","","508","5.19"
"20-29","3,669","378","","4,047","41.36"
"30-39","2,379","365","","2,744","28.04"
"40-49","1,428","236","","1,664","17.01"
"50-59","539","78","","617","6.31"
"60-69","95","6","","101","1.03"
"70 - 79","8","0","","8",".08"
"80+","0","0","","0",".00"
"Verification Pending","0","0","","0",".00"
"","","","","",""
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,644","93","","1,737","17.75"
"Homicide/Manslaughter","184","18","","202","2.06"
"Property","2,133","426","","2,559","26.15"
"Possession of Drugs","2,167","315","","2,482","25.37"
"Robbery","460","20","","480","4.91"
"Sale of Drugs","1,150","132","","1,282","13.10"
"Sex Offense","414","11","","425","4.34"
"Violent","547","71","","618","6.32"
