"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Escape - Return","1","1","1","1","1","3","1"
"Federal Inmate","0","0","0","1","0","4","0"
"Interstate Compact","0","1","0","0","0","0","0"
"ISP - Prison","1","0","0","1","0","0","0"
"New Prisoner","426","458","412","426","361","446","275"
"Non-Adjudicated Probation","0","0","0","1","0","0","0"
"Non-Adjudicated RID","7","12","20","7","7","6","6"
"Probation Revoked","256","226","243","208","195","232","191"
"Return - ERS","43","36","47","42","39","43","41"
"Return - House Arrest","36","43","29","38","46","36","36"
"Return - Medical","0","0","0","0","0","0","2"
"Return Parole","74","53","95","81","64","93","60"
"Sentenced to Probation","1","0","0","0","0","0","0"
"Warrant - Other Custody","0","1","0","1","3","2","1"
"TOTAL","845","831","847","807","716","865","613"
