"MALE","","","","",""
"SEX OFFENSES","BLACK","","WHITE   HISPANIC","OTHER","TOTAL"
"Capital Rape","2","0","0","0","2"
"Child Molestation","0","4","0","0","4"
"Child Pornography","0","1","0","0","1"
"Entice Child Indecent Purpose","0","2","0","0","2"
"Exploitation of Child","2","20","1","1","24"
"Fail to Register as Sex Offender","36","28","0","0","64"
"Fondling","12","23","2","0","37"
"Fondling a Child","0","3","0","0","3"
"Forcible Sexual Intercourse","2","0","0","0","2"
"Gratification of Lust","5","8","2","0","15"
"Incest","1","0","0","0","1"
"Kidnap Minor","0","0","0","0","0"
"Peeping Tom","5","3","0","0","8"
"Rape","9","4","0","0","13"
"Sex Between Teacher and Pupil","0","1","0","0","1"
"Sexual Abuse - Vulnerable Adult","1","0","0","0","1"
"Sexual Battery","53","59","2","0","114"
"Statutory Rape","53","30","1","0","84"
"Unlawful Touching of Child","11","25","0","1","37"
"Video Voyeurism - Photo or Film","0","1","0","0","1"
"TOTAL","192","212","8","2","414"
