"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,426","","64.79%","","","","652","","","37.91%","","","","13,078","","","","62.58%"
"White
6,474","","33.76%","","","","1,045","","","60.76%","","","","7,519","","","","35.98%"
"Hispanic
192","","1.00%","","","","15","","",".87%","","","","207","","","",".99%"
"Native American
29","",".15%","","","","4","","",".23%","","","","33","","","",".16%"
"Asian
45","",".23%","","","","2","","",".12%","","","","47","","","",".22%"
"Data Unavailable
12","",".06%","","","","2","","",".12%","","","","14","","","",".07%"
"TOTAL
19,178","","100.00%","","","","1,720","","","100.00%","","","","20,898","","","","100.00%"
