"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
16,099","","67.09%","","","","1,008","","","42.25%","","","","17,107","","","","64.85%"
"White
7,599","","31.67%","","","","1,355","","","56.79%","","","","8,954","","","","33.94%"
"Hispanic
214","",".89%","","","","12","","",".50%","","","","226","","","",".86%"
"Native American
25","",".10%","","","","","","",".29%","","","","32","","","",".12%"
"Asian
48","",".20%","","","","","","",".08%","","","","50","","","",".19%"
"Data Unavailable
10","",".04%","","","","2","","",".08%","","","","10","","","",".04%"
"TOTAL
23,995","","100.00%","","","","2,386","","","100.00%","","","","26,379","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,323","","0","1,051","1","","13","0","","2","0","3","","0","0","0","3,393"
"CMCF","1,446","","451","807","516","","19","3","","5","2","5","","0","0","0","3,254"
"SMCI","2,130","","0","1,026","0","","40","0","","2","0","10","","0","0","0","3,208"
"County Jails (approved)","909","","40","515","71","","5","0","","3","1","4","","0","0","0","1,548"
"County Jails (unapproved)","212","","14","118","27","","2","0","","1","0","","","0","0","0","374"
"Youthful Offender Facility","23","","0","7","0","","1","0","","0","0","0","","0","0","0","31"
"Private Prisons","3,218","","0","1,045","0","","31","0","","2","0","6","","0","0","0","4,302"
"Regional Correctional Facilities","2,814","","138","1,265","153","","40","1","","2","1","7","","0","0","0","4,421"
"Community Work Centers","807","","71","468","163","","1","0","","1","0","2","","0","1","0","1,514"
"Community Trusties","6","","0","3","0","","0","0","","0","0","0","","0","0","0","9"
"Pending File Review","45","","4","29","9","","1","0","","0","0","0","","0","0","0","88"
"Court Order","211","","13","130","28","","2","0","","","0","3","","0","0","0","387"
"","14,144","","731","0","968","","155","4","","18","4","40","","0","1","0","22,529"
"Intensive Supervison Program","657","","179","494","252","","6","1","","4","0","3","","2","5","2","1,605"
"Earned Release Supervision","1,033","","83","451","102","","5","1","","3","0","3","","0","0","0","1,681"
"Medical Release","17","","1","5","2","","0","0","","0","0","0","","0","0","0","25"
"Other Custody","227","","11","173","29","","45","6","","0","1","2","","0","4","0","498"
"At Large","19","","0","8","2","","3","0","","0","0","0","","0","0","0","32"
"Off-Grounds Medical (Hospital)","2","","1","4","2","","0","0","","0","0","0","","0","0","0","9"
"TOTAL","16,099","","1,006","1,135","1,357","","214","12","","25","5","48","","2","10","2","26,379"
"% OF TOTAL OFFENDERS","61.03%","","3.81%","4.30%","5.14%","",".81%",".05%","",".09%",".02%",".18%","",".01%",".04%",".01%","7 2
100.00%"
