"LOCATION","JAN","FEB","MAR","APR","MAY","JUN"
"Mississippi State Penitentiary","4,324","4,341","4,365","4,442","4,483","4,468"
"Central Mississippi Correctional Facility","3,152","3,167","3,217","3,234","3,193","3,248"
"South Mississippi Correctional Institu-
tion","2,108","2,082","2,029","1,953","1,937","1,995"
"County Jails","1,598","1,702","1,720","1,817","1,703","1,693"
"Community Work Centers","1,710","1,693","1,683","1,744","1,753","1,738"
"County/Regional Correctional Facilities","3,039","3,047","3,049","3,043","3,040","3,047"
"Private Prisons","4,764","4,747","4,767","4,799","4,849","4,868"
"Restitution Centers","15","13","12","12","12","12"
"Governor's Mansion","5","6","5","5","5","5"
"E-CODE","35","30","22","15","17","37"
"TOTAL","20,750","20,828","20,867","21,062","20,992","21,110"
"","","","","","",""
"ACTUAL TOTAL CAPACITY","22,241","22,241","21,991","21,991","21,940","21,837"
