"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","2",".05%"
"11","7","0","0","45","1.12%"
"1","0","0","0","3",".07%"
"0","1","0","0","4",".10%"
"1","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"1","0","0","0","2",".05%"
"0","1","0","0","2",".05%"
"1","0","0","0","29",".72%"
"0","0","0","0","2",".05%"
"0","0","0","0","13",".32%"
"1","0","0","0","21",".52%"
"1","0","0","0","15",".37%"
"2","1","0","0","3",".07%"
"27","48","0","1","173","4.29%"
"1","2","0","0","19",".47%"
"1","0","0","0","4",".10%"
"0","0","0","0","3",".07%"
"0","0","0","0","2",".05%"
"2","3","0","0","8",".20%"
"25","17","0","0","117","2.90%"
"0","0","0","0","4",".10%"
"0","0","0","0","1",".02%"
"0","0","0","0","12",".30%"
"9","64","1","1","928","23.03%"
"0","0","0","0","2",".05%"
"0","0","0","0","19",".47%"
"0","0","0","0","1",".02%"
"0","0","0","0","7",".17%"
"0","0","0","0","2",".05%"
"6","9","0","0","32",".79%"
"4","3","0","0","14",".35%"
"0","1","0","0","3",".07%"
"0","0","0","0","2",".05%"
"2","3","0","0","10",".25%"
"0","0","0","0","2",".05%"
