"MALES","","","",""
"SEX OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"Capital Rape","22","12","1","0"
"Child Molestation","35","96","1","0"
"Child Pornography","0","2","0","0"
"Computer Luring of Child for Sexual Conduct","0","1","0","0"
"Entice Child for Indecent Purposes","0","1","0","0"
"Exploitation/Child","3","24","1","1"
"Failure to Register/Sexual Offender","16","16","0","0"
"Fondling","15","25","2","0"
"Fondling a Child","38","54","3","1"
"Gratification/Lust","12","30","0","0"
"Incest","1","0","0","0"
"Incest with a Minor","0","1","0","0"
"Peeping Tom","7","7","0","0"
"Prostitution","1","0","0","0"
"Rape","340","100","1","0"
"Rape with a Weapon","2","0","0","0"
"Sex Assault","87","53","0","0"
"Sex Assault-Sodomy-Man","1","0","0","0"
"Sex Offense","7","7","0","1"
"Sexual Battery","256","298","2","4"
"Sexual Penetration/Incarcerated Offender by Law","2","0","0","0"
"Statutory Rape","155","76","2","1"
"Unlawful Touching a Child","25","44","2","0"
"Unnatural Intercourse","1","0","0","0"
"TOTAL","1,026","847","15","8"
