"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Amphetamine Possession","0","2","0","0"
"Cocaine","1","0","0","0"
"Cocaine - Trafficking","1","0","0","0"
"Cocaine - Possession","1,082","148","13","5"
"Controlled Substance within Facility","11","3","0","0"
"Marijuana - Manufacture","1","15","0","0"
"Marijuana - Possession","196","74","10","3"
"Methamphetamine - Distribution","0","9","1","0"
"Methamphetamine","0","105","0","0"
"Methamphetamine - Possession","9","318","2","0"
"Possession of Controlled Substance w/Intent","110","68","6","1"
"Possession of Cocaine w/Intent to Distribute","187","9","3","0"
"Possession of Marijuana w/Intent to Distribute","133","31","12","0"
"Possession of Precursor w/Intent to Manufacture","0","125","0","1"
"Possession of Controlled Substance","278","361","6","3"
"Possession of Precursors","3","217","1","0"
"Theft of Precursor","0","10","1","0"
"TOTAL","2,012","1,495","55","13"
