"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Counterfeiting","2","0","0","0"
"Credit Card Fraud","11","16","0","0"
"Crimes Against a Person","2","0","0","0"
"Criminal Attempt to Commit","3","0","0","0"
"Cruelty To Animals","0","0","0","0"
"Cruelty Toward Wife","1","0","0","0"
"Damage Property - Business","1","0","0","0"
"Desertion of Non-Support of Child","1","0","0","0"
"Directing Minor to Commit Crime","1","0","0","0"
"Discharge Firearm","22","5","0","1"
"Disorderly Conduct/Create Turmoil","2","0","0","0"
"Domestic Violence Order","9","4","0","0"
"DUI Death","2","15","2","1"
"DUI Manslaughter","7","5","1","1"
"Embezzle","0","0","0","0"
"Embezzlement","46","51","0","0"
"Escape - Jail","10","6","0","0"
"Exploitation of Vulnerable Adult","1","2","0","0"
"Extortion","3","0","0","0"
"Fail to Obey Officer","2","0","0","0"
"False Information","3","0","0","0"
"False Pretense","37","36","2","0"
"False Report of a Crime","3","1","0","0"
"Family Offense","1","0","0","0"
"Felony Domestic Violence","4","8","0","0"
"Felony DUI","402","435","7","9"
"Firearms Discharge","2","0","0","0"
"Fleeing Law Enforcement Officer","15","4","0","0"
"Fleeing Law Enforcement Officer - Injury/Death","0","1","0","0"
"Flight to Avoid","3","4","0","0"
"Flight/Escape","2","0","0","0"
"Forgery","10","7","0","0"
"Fraud","5","2","0","0"
"Fraud by Wire","2","0","0","0"
"Fraud - Abuse Computer","2","0","0","0"
"Fraud - Impersonation","2","3","0","0"
"Fraud - Swindle","1","1","0","0"
