"COUNTY","OFFENDERS","PERCENT"
"Adams","320","1.32%"
"Alcorn","277","1.14%"
"Amite","86",".35%"
"Attala","193",".79%"
"Benton","54",".22%"
"Bolivar","339","1.39%"
"Calhoun","226",".93%"
"Carroll","107",".44%"
"Chickasaw","257","1.06%"
"Choctaw","88",".36%"
"Claiborne","79",".32%"
"Clarke","141",".58%"
"Clay","386","1.59%"
"Coahoma","322","1.32%"
"Copiah","273","1.12%"
"Covington","75",".31%"
"Desoto","699","2.87%"
"Forrest","691","2.84%"
"Franklin","51",".21%"
"George","139",".57%"
"Greene","83",".34%"
"Grenada","379","1.56%"
"Hancock","234",".96%"
"Harrison","1,739","7.15%"
"Hinds","1,432","5.89%"
"Holmes","168",".69%"
"Humphreys","137",".56%"
"Issaquena","7",".03%"
"Itawamba","125",".51%"
"Jackson","629","2.59%"
"Jasper","82",".34%"
"Jefferson","54",".22%"
"Jefferson Davis","81",".33%"
"Jones","452","1.86%"
"Kemper","42",".17%"
"Lafayette","246","1.01%"
"Lamar","259","1.06%"
"Lauderdale","999","4.11%"
"Lawrence","65",".27%"
"Leake","196",".81%"
"Lee","870","3.58%"
"Leflore","382","1.57%"
"Lincoln","288","1.18%"
"Lowndes","1,152","4.73%"
"Madison","545","2.24%"
"Marion","282","1.16%"
"Marshall","304","1.25%"
"Monroe","378","1.55%"
"Montgomery","133",".55%"
"Neshoba","248","1.02%"
"Newton","124",".51%"
"Noxubee","93",".38%"
"Oktibbeha","510","2.10%"
"Panola","389","1.60%"
"Pearl River","389","1.60%"
"Perry","69",".28%"
"Pike","601","2.47%"
"Pontotoc","349","1.43%"
"Prentiss","219",".90%"
"Quitman","90",".37%"
"Rankin","774","3.18%"
"Scott","322","1.32%"
"Sharkey","32",".13%"
"Simpson","96",".39%"
"Smith","59",".24%"
"Stone","99",".41%"
"Sunflower","303","1.25%"
"Tallahatchie","197",".81%"
"Tate","202",".83%"
"Tippah","126",".52%"
"Tishomingo","71",".29%"
"Tunica","150",".62%"
"Union","255","1.05%"
"Walthall","144",".59%"
"Warren","372","1.53%"
"Washington","549","2.26%"
"Wayne","211",".87%"
"Webster","91",".37%"
"Wilkinson","69",".28%"
"Winston","159",".65%"
"Yalobusha","102",".42%"
"Yazoo","158",".65%"
"Verification Pending","163",".67%"
"TOTAL","24,331","100.00%"
