"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,259","15.59%"
"Central Mississippi Correctional Facility","2,932","2,638","12.62%"
"South Mississippi Correctional Institution","2,882","2,717","13.00%"
"Youthful Offender Facility","58","28","0.13%"
"County Jails - Approved*","1,780","687","3.29%"
"County Jails - Unapproved**","0","410","1.96%"
"Community Work Centers","1,864","1,065","5.09%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,106","10,804","51.67%"
"Alcorn County Correctional Facility","300","0","0.00%"
"Bolivar County Correctional Facility","369","319","1.53%"
"Carroll County Correctional Facility","280","267","1.28%"
"Chickasaw County Correctional Facility","300","252","1.21%"
"George County Correctional Facility","280","255","1.22%"
"Holmes County Correctional Facility","280","278","1.33%"
"Issaquena County Correctional Facility","274","257","1.23%"
"Jefferson County Correctional Facility","280","259","1.24%"
"Kemper County Correctional Facility","355","314","1.50%"
"Leake County Correctional Facility","280","234","1.12%"
"Marion County Correctional Facility","280","265","1.27%"
"Stone County Correctional Facility","280","275","1.32%"
"Washington County Correctional Facility","300","215","1.03%"
"Winston County Correctional Facility","280","242","1.16%"
"Yazoo County Correctional Facility","300","264","1.26%"
"TOTAL REGIONAL FACILITIES","4,438","3,696","17.68%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,118","5.35%"
"Marshall County Correctional Facility","1,000","993","4.75%"
"Walnut Grove Correctional Facility","1,500","892","4.27%"
"Wilkinson County Correctional Facility","1,000","894","4.28%"
"TOTAL PRIVATE PRISONS","5,972","3,897","18.64%"
"Community Trusties","0","12",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","64",".31%"
"Court Order","0","223","1.07%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,516","18,696","89.42%"
"Intensive Supervision Program","0","790","3.78%"
"Earned Release Supervision Program","0","843","4.03%"
"Medical Release","0","13","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1,646","7.87%"
"Other Custody","0","529","2.53%"
"Off-Grounds Medical (Hospital)","0","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","23,516","20,908","100.00%"
