"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,094","14.17%"
"Central Mississippi Correctional Facility","3,469","2,057","9.42%"
"South Mississippi Correctional Institution","3,282","2,621","12.00%"
"Youthful Offender Facility","58","34","0.16%"
"County Jails - Approved*","1,985","1,105","5.06%"
"County Jails - Unapproved**","0","80","0.37%"
"Community Work Centers","1,870","1,104","5.06%"
"TVC","0","2","0.01%"
"Transitional Housing","0","1","0.00%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,312","10,098","46.24%"
"Alcorn County Correctional Facility","300","296","1.36%"
"Bolivar County Correctional Facility","367","357","1.63%"
"Carroll County Correctional Facility","274","267","1.22%"
"Chickasaw County Correctional Facility","299","300","1.37%"
"George County Correctional Facility","271","256","1.17%"
"Holmes County Correctional Facility","268","259","1.19%"
"Issaquena County Correctional Facility","274","250","1.14%"
"Jefferson County Correctional Facility","280","254","1.16%"
"Kemper County Correctional Facility","355","320","1.47%"
"Leake County Correctional Facility","280","258","1.18%"
"Marion County Correctional Facility","280","271","1.24%"
"Stone County Correctional Facility","280","272","1.25%"
"Washington County Correctional Facility","300","270","1.24%"
"Winston County Correctional Facility","280","270","1.24%"
"Yazoo County Correctional Facility","300","269","1.23%"
"TOTAL REGIONAL FACILITIES","4,408","4,169","19.09%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,160","5.31%"
"Marshall County Correctional Facility","1,000","998","4.57%"
"Walnut Grove Correctional Facility","1,500","1,225","5.61%"
"Wilkinson County Correctional Facility","1,099","876","4.01%"
"TOTAL PRIVATE PRISONS","6,071","4,259","19.51%"
"Community Trusties","0","9",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","119",".54%"
"Court Order","0","205",".94%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,791","18,859","86.37%"
"Intensive Supervision Program","0","1,332","6.10%"
"Earned Release Supervision Program","0","1,071","4.90%"
"Medical Release","0","19","0.09%"
"TOTAL COMMUNITY CORRECTIONS","0","2,422","11.09%"
"Other Custody","0","519","2.38%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","28","0.13%"
"TOTAL","25,791","21,835","100%"
