"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,768","5,707","40.72%"
"Central Mississippi Correctional Facility","3,233","3,040","21.69%"
"South Mississippi Correctional Institution","2,214","2,153","15.36%"
"County Jails - Approved*","2,176","1,549","11.05%"
"County Jails - Unapproved**","0","88","0.63%"
"Community Work Centers","1816","1,478","10.55%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,207","14,015","100.00%"
"Bolivar County Correctional Facility","250","239","9.20%"
"Carroll County Correctional Facility","250","236","9.08%"
"GeorgeCounty Correctional Facility","250","235","9.05%"
"Holmes County Correctional Facility","250","236","9.08%"
"Issaquena County Correctional Facility","250","233","8.97%"
"Jefferson County Correctional Facility","250","238","9.16%"
"Kemper County Correctional Facility","250","235","9.05%"
"Leake Correctional Facility","250","234","9.01%"
"Marion County Correctional Facility","250","241","9.28%"
"Stone County Correctional Facility","250","236","9.08%"
"Winston County Correctional Facility","250","235","9.05%"
"Regional Facilities","2,750","2,598","100.00%"
"East MS Correctional Facility","1,000","734","21.00%"
"Marshall County Correctional Facility","1,000","996","28.50%"
"Walnut Grove Correctional Facility","750","767","21.95%"
"Wilkinson County Correctional Facility","1,000","998","28.56%"
"TOTAL PRIVATE PRISONS","3,750","3,495","100.00%"
"Community Trusties","30","26","0.11%"
"Emergency Suspension","0","1","0.00%"
"Court Order","0","391","1.66%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,737","20,526","87.32%"
"Intensive Supervision Program","0","1,373","5.84%"
"Earned Release Supervision Program","0","1,247","5.31%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2,620","11.15%"
"Other Custody","0","200","0.85%"
"University of MS Medical Center","0","2","0.01%"
"At Large (Escapees & Walk-Aways)","0","158","0.67%"
"TOTAL","21,737","23,506","100.00%","00"
