"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,359","25.37%"
"Central Mississippi Correctional Facility","3,665","3,327","25.13%"
"South Mississippi Correctional Institution","3,282","3,167","23.92%"
"County Jails - Approved*","1,736","1,389","10.49%"
"County Jails - Unapproved**","0","468","3.53%"
"Community Work Centers","1,848","1,531","11.56%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,179","13,241","100.00%"
"Alcorn County Correctional Facility","300","298","6.86%"
"Bolivar County Correctional Facility","369","367","8.44%"
"Carroll County Correctional Facility","280","279","6.42%"
"Chickasaw County Correctional Facility","300","300","6.90%"
"George County Correctional Facility","280","279","6.42%"
"Holmes County Correctional Facility","280","277","6.37%"
"Issaquena County Correctional Facility","274","274","6.30%"
"Jefferson County Correctional Facility","280","280","6.44%"
"Kemper County Correctional Facility","355","339","7.80%"
"Leake County Correctional Facility","280","279","6.42%"
"Marion County Correctional Facility","280","278","6.40%"
"Stone County Correctional Facility","280","278","6.40%"
"Washington County Correctional Facility","300","238","5.48%"
"Winston County Correctional Facility","280","280","6.44%"
"Yazoo County Correctional Facility","300","301","6.92%"
"TOTAL REGIONAL FACILITIES","4,438","4,347","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,199","29.02%"
"Marshall County Correctional Facility","1,000","999","24.18%"
"Walnut Grove Correctional Facility","1,500","1,031","24.95%"
"Wilkinson County Correctional Facility","1,000","903","21.85%"
"TOTAL PRIVATE PRISONS","5,972","4,132","100.00%"
"Community Trusties","22","14",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","84",".32%"
"Court Order","0","349","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,611","22,167","85.45%"
"Intensive Supervision Program","0","1,623","6.26%"
"Earned Release Supervision Program","00","1,621","6.25%"
"Medical Release","0","25",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3,269","12.60%"
"Other Custody","0000","454","1.75%"
"Off-Grounds Medical (Hospital)","0","18",".07%"
"At Large (Escapees & Walk-Aways)","0","34",".13%"
"TOTAL","25,611","25,942","100.00%"
