"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,269","15.44%"
"Central Mississippi Correctional Facility","3,750","3,722","17.58%"
"South Mississippi Correctional Institution","3,082","3,056","14.43%"
"Youthful Offender Facility","58","35","0.17%"
"County Jails - Approved","1,781","745","3.52%"
"County Jails - Unapproved","0","372","1.76%"
"Community Work Centers","1,154","664","3.14%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,863","56.03%"
"Alcorn County Correctional Facility","300","239","1.13%"
"Bolivar County Correctional Facility","369","293","1.38%"
"Carroll County Correctional Facility","280","268","1.27%"
"Chickasaw County Correctional Facility","310","238","1.12%"
"George County Correctional Facility","280","196","0.93%"
"Holmes County Correctional Facility","280","199","0.94%"
"Issaquena County Correctional Facility","274","267","1.26%"
"Jefferson County Correctional Facility","280","269","1.27%"
"Kemper County Correctional Facility","355","252","1.19%"
"Leake County Correctional Facility","280","266","1.26%"
"Marion County Correctional Facility","280","270","1.28%"
"Stone County Correctional Facility","326","224","1.06%"
"Washington County Correctional Facility","300","192","0.91%"
"Winston County Correctional Facility","280","264","1.25%"
"Yazoo County Correctional Facility","300","239","1.13%"
"TOTAL REGIONAL FACILITIES","4,494","3,676","17.36%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,272","6.01%"
"Marshall County Correctional Facility","1,000","995","4.70%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","925","4.37%"
"TOTAL PRIVATE PRISONS","5,972","3,192","15.08%"
"Community Trusties","0","10",".05%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","124",".59%"
"TVC","0","52",".25%"
"Transitional Housing","0","42","0.2%"
"Court Order","0","264","1.25%"
"RRP","0","83",".39%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,306","91.18%"
"Intensive Supervision Program","0","754","3.56%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","583","2.75%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,360","6.42%"
"Other Custody","","465","2.20%"
"Off-Grounds Medical (Hospital)","","18","0.09%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","21,174","00
00
100.00%"
