"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,393","15.94%"
"Central Mississippi Correctional Facility","3,506","2,926","13.74%"
"South Mississippi Correctional Institution","3,082","2,996","14.07%"
"Youthful Offender Facility","58","32","0.15%"
"County Jails - Approved*","1,986","808","3.79%"
"County Jails - Unapproved**","0","403","1.89%"
"Community Work Centers","1,700","959","4.50%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,922","11,517","54.09%"
"Alcorn County Correctional Facility","240","237","1.11%"
"Bolivar County Correctional Facility","369","294","1.38%"
"Carroll County Correctional Facility","280","240","1.13%"
"Chickasaw County Correctional Facility","300","240","1.13%"
"George County Correctional Facility","280","198","0.93%"
"Holmes County Correctional Facility","280","200","0.94%"
"Issaquena County Correctional Facility","274","240","1.13%"
"Jefferson County Correctional Facility","280","240","1.13%"
"Kemper County Correctional Facility","355","257","1.21%"
"Leake County Correctional Facility","280","199","0.93%"
"Marion County Correctional Facility","280","201","0.94%"
"Stone County Correctional Facility","280","200","0.94%"
"Washington County Correctional Facility","300","226","1.06%"
"Winston County Correctional Facility","280","195","0.92%"
"Yazoo County Correctional Facility","300","239","1.12%"
"TOTAL REGIONAL FACILITIES","4,378","3,406","16.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,095","5.14%"
"Marshall County Correctional Facility","1,000","998","4.69%"
"Walnut Grove Correctional Facility","1,500","920","4.32%"
"Wilkinson County Correctional Facility","1,000","894","4.20%"
"TOTAL PRIVATE PRISONS","5,972","3,907","18.35%"
"Community Trusties","16","47",".22%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","82",".39%"
"Transitional Housing","0","3",".01%"
"Conditional Release","0","2",".01%"
"Court Order","0","265","1.24%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,272","19,229","90.31%"
"Intensive Supervision Program","0","726","3.41%"
"Earned Release Supervision Program","0","755","3.55%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,498","7.04%"
"Other Custody","0","530","2.49%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","00","26","0.12%"
"TOTAL","24,272","21,292","100.00%"
