"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,220","15.21%"
"Central Mississippi Correctional Facility","3,750","3,668","17.32%"
"South Mississippi Correctional Institution","3,082","2,650","12.52%"
"Youthful Offender Facility","58","27","0.13%"
"County Jails - Approved","1,781","701","3.31%"
"County Jails - Unapproved","0","341","1.61%"
"Community Work Centers","1,154","639","3.02%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,246","53.12%"
"Alcorn County Correctional Facility","300","299","1.41%"
"Bolivar County Correctional Facility","369","294","1.39%"
"Carroll County Correctional Facility","280","273","1.29%"
"Chickasaw County Correctional Facility","310","310","1.46%"
"George County Correctional Facility","280","327","1.54%"
"Holmes County Correctional Facility","280","277","1.31%"
"Issaquena County Correctional Facility","274","316","1.49%"
"Jefferson County Correctional Facility","280","278","1.31%"
"Kemper County Correctional Facility","355","349","1.65%"
"Leake County Correctional Facility","280","279","1.32%"
"Marion County Correctional Facility","280","280","1.32%"
"Stone County Correctional Facility","326","279","1.32%"
"Washington County Correctional Facility","300","166","0.78%"
"Winston County Correctional Facility","280","273","1.29%"
"Yazoo County Correctional Facility","300","296","1.40%"
"TOTAL REGIONAL FACILITIES","4,494","4,296","20.29%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,251","5.91%"
"Marshall County Correctional Facility","1,000","997","4.71%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","909","4.29%"
"TOTAL PRIVATE PRISONS","5,972","3,157","14.91%"
"Community Trusties","0","8",".04%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","76",".36%"
"TVC","0","76",".36%"
"Transitional Housing","0","32",".15%"
"Court Order","0","278","1.31%"
"RRP","0","68",".32%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,237","90.86%"
"Intensive Supervision Program","0","826","3.90%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","579","2.73%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,427","6.74%"
"Other Custody","","476","2.25%"
"Off-Grounds Medical (Hospital)","","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","23,881","21,172","100.00%"
