"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,730","4,345","34.86%"
"Central Mississippi Correctional Facility","3,219","3,048","24.46%"
"South Mississippi Correctional Institution","2,306","2,172","17.43%"
"County Jails - Approved*","2,192","1,241","9.96%"
"County Jails - Unapproved**","0","21","0.17%"
"Community Work Centers","1,816","1,636","13.13%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,263","12,463","100.00%"
"Bolivar County Correctional Facility","294","291","9.66%"
"Carroll County Correctional Facility","250","250","8.30%"
"George County Correctional Facility","280","276","9.16%"
"Holmes County Correctional Facility","280","280","9.30%"
"Issaquena County Correctional Facility","274","273","9.06%"
"Jefferson County Correctional Facility","250","248","8.23%"
"Kemper County Correctional Facility","280","278","9.23%"
"Leake County Correctional Facility","280","280","9.30%"
"Marion County Correctional Facility","280","278","9.23%"
"Stone County Correctional Facility","280","278","9.23%"
"Winston County Correctional Facility","280","280","9.30%"
"TOTAL REGIONAL FACILITIES","3,028","3,012","100.00%"
"Delta Correctional Facility","972","969","20.16%"
"East MS Correctional Facility","1,000","853","17.75%"
"Marshall County Correctional Facility","1,000","993","20.66%"
"Tallahatchie County Correctional Facility","128","128","2.66%"
"Walnut Grove Correctional Facility","1,000","916","19.06%"
"Wilkinson County Correctional Facility","1,000","947","19.70%"
"TOTAL PRIVATE PRISONS","5,100","4,806","100.00%"
"Community Trusties","022","15","0.06%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","9","0.04%"
"Court Order","0","396","1.61%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,413","20,701","84.24%"
"Intensive Supervision Program","0","1,609","6.55%"
"Earned Release Supervision Program","00","1,821","7.41%"
"Medical Release","0","11","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,441","14.00%"
"Other Custody","0","307","1.25%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","121","0.49%"
"TOTAL","22,413","24,575","100.00%"
