"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"9,441 
  
1,208 
  
10,649","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","3,450","742","","4,192","39.37"
"Black","5,877","451","","6,328","59.42"
"Hispanic","80","11","","91",".85"
"Other","30","4","","34",".32"
"Unknown Race","4","0","","4",".04"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"14","1","0","","1",".01"
"15","5","0","","5",".05"
"16","11","0","","11",".10"
"17","58","1","","59",".55"
"18 - 19","500","20","","520","4.88"
"20 - 29","3,836","433","","4,269","40.09"
"30 - 39","2,739","407","","3,146","29.54"
"40 - 49","1,562","268","","1,830","17.18"
"50 - 59","626","71","","697","6.55"
"60 - 69","82","8","","90",".85"
"70 - 79","19","0","","19",".18"
"80+","2","0","","2",".02"
"Verification Pending","0","0","","0",".00"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Aggravated Assault","409","28","","437","4.10"
"Burglary","1,877","115","","1,992","18.71"
"Homicide","58","7","","65",".61"
"Manslaughter","119","15","","134","1.26"
"Property","2,368","512","","2,880","27.04"
"Possession of Drugs","2,168","308","","2,476","23.25"
"Robbery","550","21","","571","5.36"
"Sale of Drugs","1,234","143","","1,377","12.93"
"Sex Offense","402","8","","410","3.85"
"Violent","256","51","","307","2.88"
