"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"75 
  
1 
  
76","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","7","1","","8","10.53"
"Black","68","0","","68","89.47"
"Hispanic","0","0","","0",".00"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"14","1","0","","1","1.32"
"15","5","0","","5","6.58"
"16","11","0","","11","14.47"
"17","58","1","","59","77.63"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Aggravated Assault","4","0","","4","5.26"
"Burglary","14","0","","14","18.42"
"Homicide","1","0","","1","1.32"
"Manslaughter","4","0","","4","5.26"
"Property","10","0","","10","13.16"
"Possession of Drugs","1","0","","1","1.32"
"Robbery","32","1","","33","43.42"
"Sale of Drugs","0","0","","0",".00"
"Sex Offense","8","0","","8","10.53"
"Violent","1","0","","1","1.32"
