"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Escape - Return","2","0","0","1","3","8",".08"
"Federal Inmate","0","0","0","0","0","1",".01"
"Interstate Compact","0","0","0","0","0","4",".04"
"New Prisoner","435","514","398","400","406","5,008","47.03"
"Non-Adjudicated Probation","0","0","0","0","0","1",".01"
"Non-Adjudicated RID","8","15","8","6","14","127","1.19"
"Probation Revoked","336","293","291","259","332","3,380","31.74"
"Return - ERS","48","55","48","37","47","548","5.15"
"Return - House Arrest","37","38","32","25","30","378","3.55"
"Return - Medical","1","0","0","1","0","2",".02"
"Return Parole","100","122","147","143","95","1,181","11.09"
"Warrant - Other Custody","0","2","0","0","2","11",".10"
"TOTAL","967","1,039","924","872","929","10,649","100.00"
