"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Escape - Return","1","0","0","0","0","1","0"
"Federal Inmate","0","0","0","0","1","0","0"
"Interstate Compact","1","0","2","0","0","0","1"
"New Prisoner","418","411","448","447","417","364","350"
"Non-Adjudicated Probation","0","0","1","0","0","0","0"
"Non-Adjudicated RID","16","14","10","14","7","6","9"
"Probation Revoked","225","317","285","257","247","285","253"
"Return - ERS","46","49","50","38","40","43","47"
"Return - House Arrest","43","31","25","41","29","24","23"
"Return - Medical","0","0","0","0","0","0","0"
"Return Parole","68","67","86","122","72","72","87"
"Warrant - Other Custody","1","3","1","0","0","2","0"
"TOTAL","819","892","908","919","813","797","770"
