"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"729 
  
79 
  
808","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","315","54","","369","45.67"
"Black","406","24","","430","53.22"
"Hispanic","4","1","","5",".62"
"Other","4","0","","4",".50"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"50 - 59","626","71","","697","86.26"
"60 - 69","82","8","","90","11.14"
"70—79","19","0","","19","2.35"
"Over 80","2","0","","2",".25"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Aggravated Assault","23","0","","23","2.85"
"Burglary","73","0","","73","9.03"
"Homicide","9","0","","9","1.11"
"Manslaughter","8","4","","12","1.49"
"Property","257","42","","299","37.00"
"Possession of Drugs","153","13","","166","20.54"
"Robbery","18","0","","18","2.23"
"Sale of Drugs","91","13","","104","12.87"
"Sex Offense","78","1","","79","9.78"
"Violent","19","6","","25","3.09"
